#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
x,raw_y,data-bg,sum_components,bg,sum_fit,bg_shirley_,a1,v2,v3
299.5,852.0,96.89134211540227,169.22417660604503,755.1086578845977,924.3328344906428,755.1086578845977,21.891799304412352,21.06969814040262,126.2626791612302
299.4000000000001,905.0,151.62038015358416,174.7123951467405,753.3796198464158,928.0920149931563,753.3796198464158,22.289414696890884,21.518804894393426,130.9041755554563
299.29999999999995,922.0,170.45697572231063,180.46832554272908,751.5430242776894,932.0113498204184,751.5430242776894,22.697962268614038,21.98232052782006,135.78804274629505
299.20000000000005,882.0,132.32807087630613,186.50862439152138,749.6719291236939,936.1805535152153,749.6719291236939,23.117846498870385,22.460863378369638,140.92991451428142
299.0999999999999,925.0,177.11799053555092,192.85111343414144,747.8820094644491,940.7331228985905,747.8820094644491,23.549490748625256,22.955085045467747,146.3465376400485
299.0,968.0,221.9951738516528,199.51485572578588,746.0048261483472,945.5196818741331,746.0048261483472,23.993338328211475,23.465672542291856,152.05584485528252
298.9000000000001,950.0,205.9596208246112,206.52023336974628,744.0403791753888,950.5606125451351,744.0403791753888,24.449853636143676,23.993350610514067,158.07702912308858
298.79999999999995,951.0,208.88753882493222,213.88902568024378,742.1124611750678,956.0014868553116,742.1124611750678,24.9195233744965,24.538884211817905,164.43061809392927
298.70000000000005,951.0,210.81748621262193,221.64448622704413,740.1825137873781,961.8270000144222,740.1825137873781,25.402857846797527,25.10308121164047,171.13854716860627
298.5999999999999,995.0,256.74743360031175,229.8114166919504,738.2525663996882,968.0639830916386,738.2525663996882,25.900392344911577,25.68679527211095,178.2242290749278
298.5,986.0,249.76667403222712,238.41623480910448,736.2333259677729,974.6495607768774,736.2333259677729,26.412688631929985,26.290928972792987,185.71261720438144
298.4000000000001,1000.0,265.7676499778237,247.48703284007013,734.2323500221763,981.7193828622464,734.2323500221763,26.940336528771798,26.916437179775414,193.630259131523
298.29999999999995,1008.0,275.797037346583,257.05362201246953,732.202962653417,989.2565846658865,732.202962653417,27.483955612839992,27.564330685658888,202.00533571397062
298.20000000000005,1027.0,296.84265981429246,267.1475570910486,730.1573401857075,997.3048972767562,730.1573401857075,28.04419703788199,28.235680145336257,210.86767990783042
298.0999999999999,1047.0,318.9268406420082,277.802133705282,728.0731593579918,1005.8752930632738,728.0731593579918,28.621745485053466,28.931620335035618,220.24876788519288
298.0,1024.0,298.05160921709955,289.05234917864027,725.9483907829004,1015.0007399615407,725.9483907829004,29.21732125607523,29.65335476490114,230.18167315766388
297.9000000000001,999.0,275.1297018827091,300.9348153436657,723.8702981172909,1024.8051134609566,723.8702981172909,29.83168252047582,30.402160678659797,240.70097214453014
297.79999999999995,1047.0,325.1570598640998,313.48760913081617,721.8429401359002,1035.3305492667164,721.8429401359002,30.4656277299858,31.179394477398784,251.84258692343155
297.70000000000005,1084.0,364.28182843919103,326.75004355239435,719.718171560809,1046.4682151132033,719.718171560809,31.119998214460246,31.986497608509374,263.6435477294248
297.5999999999999,1018.0,300.4816843469267,340.7623380422864,717.5183156530733,1058.2806536953597,717.5183156530733,31.795680975112614,32.82500296530934,276.14165410186445
297.5,1048.0,332.54760068832377,355.5651629710766,715.4523993116762,1071.0175622827528,715.4523993116762,32.49361169234908,33.69654184777363,289.37500943095387
297.4000000000001,1083.0,369.6743986507839,371.19902860958257,713.3256013492161,1084.5246299587986,713.3256013492161,33.214777967304606,34.60285154048954,303.3813991017885
