#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
x,raw_y,data-bg,sum_components,bg,sum_fit,bg_shirley_,v1,v2,v3
304.5,23638.0,1280.5870750203903,525.2678680366917,22357.41292497961,22882.6807930163,22357.41292497961,2.927924211688912,612.3596714463058,-90.019727621305
303.5,22311.0,464.88163650102797,595.1449547105913,21846.118363498972,22441.263318209563,21846.118363498972,3.328547689122987,705.636264870171,-113.81985784870099
302.5,21807.0,443.1274633157591,691.8656708887975,21363.87253668424,22055.73820757304,21363.87253668424,3.8177870414726724,821.8158440344437,-133.76796018711943
301.5,21291.0,398.3404624955074,868.5968964842759,20892.659537504493,21761.25643398877,20892.659537504493,4.42399103205508,968.9942285738163,-104.82132312159601
300.5,21432.0,999.2579476680185,1271.4734645445133,20432.74205233198,21704.215516876495,20432.74205233198,5.187899998597762,1159.1494399750236,107.13612457089552
299.5,22300.0,2330.2619977146023,2198.682337848266,19969.738002285398,22168.420340133664,19969.738002285398,6.169817947148635,1410.5793865896612,781.9331333114526
298.5,24141.0,4653.267028688089,4068.9582444434964,19487.73297131191,23556.691215755407,19487.73297131191,7.462191711657334,1752.2987605769365,2309.1972921549036
297.5,26182.0,7216.572527272685,7179.468225428362,18965.427472727315,26144.895698155677,18965.427472727315,9.212877918548282,2232.3785346696695,4937.876812840143
296.5,29197.0,10798.556599672746,11309.22088607615,18398.443400327254,29707.664286403404,18398.443400327254,11.671090389823176,2934.704239334738,8362.845556351589
295.5,33285.0,15519.540623103487,15557.902321459347,17765.459376896513,33323.36169835586,17765.459376896513,15.2860214443214,4014.92992301155,11527.686377003476
294.5,36240.0,19197.01313735127,18867.600529712567,17042.98686264873,35910.587392361296,17042.98686264873,20.94347206551349,5783.21393393409,13063.443123712961
293.5,37439.0,21183.17217076844,21143.887963645313,16255.82782923156,37399.71579287687,16255.82782923156,30.640933838741272,8906.187555311133,12207.059474495434
292.5,39855.0,24412.577950880725,24330.656153016273,15442.422049119274,39773.07820213555,15442.422049119274,52.46199733225858,14887.129084632354,9391.065071051662
291.5,46998.0,32421.871253941645,32871.98429709042,14576.128746058355,47448.113043148776,14576.128746058355,362.3304654522545,26605.56509020931,5904.08874142885
290.5,66969.0,53415.528620091165,53628.01911522783,13553.471379908831,67181.49049513666,13553.471379908831,8144.325428992958,42510.68521177245,2973.0084744624282
289.5,123889.0,111795.36178127675,110817.9761592028,12093.638218723248,122911.61437792605,12093.638218723248,69664.37162436628,40025.22070870339,1128.383826133129
288.5,210034.0,200646.2039682223,200865.93664150484,9387.79603177769,210253.73267328253,9387.79603177769,176796.2248855496,23827.46833199751,242.24342395772305
287.5,148955.0,144158.8059500395,144396.69527121852,4796.194049960506,149192.889321179,4796.194049960506,131040.10924928702,13427.168528038294,-70.58250610679592
286.5,37925.0,36383.3561875771,36489.15599675437,1541.6438124228991,38030.799809177275,1541.6438124228991,28460.36666971048,8162.816519105294,-134.02719206140364
285.5,7673.0,6955.400765765974,7170.215939954792,717.599234234026,7887.815174188818,717.599234234026,1916.753297117842,5374.582103015668,-121.11946017871747
284.5,4633.0,4077.2129994838224,3776.0167517227665,555.7870005161778,4331.803752238944,555.7870005161778,101.01180101734278,3771.612375141755,-96.6074244363321
283.5,3373.0,2912.4780188954455,2742.127077470665,460.52198110455436,3202.6490585752194,460.52198110455436,38.835623797528676,2779.78862637206,-76.49717269892369
282.5,2407.0,2014.1609692196205,2091.5901719196722,392.83903078037946,2484.4292027000515,392.83903078037946,25.206777207015225,2128.275665154964,-61.892270442306895
281.5,1873.0,1526.6976665767515,1645.8291293524478,346.3023334232484,1992.1314627756963,346.3023334232484,17.850658411072867,1679.228187211772,-51.249716270397
280.5,1667.0,1355.5448203682497,1327.5261519991773,311.45517963175024,1638.9813316309276,311.45517963175024,13.342113961402175,1357.4363539170579,-43.25231587928256
