#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!),,,,,,,
x,raw_y,data-bg,sum_components,bg,sum_fit,bg_poly_,g1,g2
579.5,37038,96.3655476793647,0,36941.6344523206,36941.6344523206,36941.6344523206,3.02986845826305E-160,2.95024223590549E-43
578.5,37241,190.464295921847,0,37050.5357040782,37050.5357040782,37050.5357040782,8.6156623797177E-153,5.54432769633799E-41
577.5,37345,194.220599658787,0,37150.7794003412,37150.7794003412,37150.7794003412,1.64183255758436E-145,9.11959203569692E-39
576.5,37595,352.292290147394,0,37242.7077098526,37242.7077098526,37242.7077098526,2.0967388800988E-138,1.31291688674326E-36
575.5,37164,-162.657163705677,0,37326.6571637057,37326.6571637057,37326.6571637057,1.79446555698215E-131,1.65437653704542E-34
574.5,37143,-259.958655331284,0,37402.9586553313,37402.9586553313,37402.9586553313,1.02920336817964E-124,1.82459631856712E-32
573.5,37448,-23.9374405313283,0,37471.9374405313,37471.9374405313,37471.9374405313,3.95587503798086E-118,1.76130484858322E-30
572.5,37285,-248.913137441501,0,37533.9131374415,37533.9131374415,37533.9131374415,1.01896489736399E-111,1.4881186900985E-28
571.5,37385,-204.199726618826,0,37589.1997266188,37589.1997266188,37589.1997266188,1.75894060833476E-105,1.10046419331983E-26
570.5,37531,-107.105550883338,0,37638.1055508833,37638.1055508833,37638.1055508833,2.03478450294507E-99,7.12278056869322E-25
569.5,37331,-349.933315480128,0,37680.9333154801,37680.9333154801,37680.9333154801,1.57746946252662E-93,4.03513917646571E-23
568.5,37574,-143.980087965727,0,37717.9800879657,37717.9800879657,37717.9800879657,8.19556300807437E-88,2.0007958422282E-21
567.5,37667,-82.5372982937843,0,37749.5372982938,37749.5372982938,37749.5372982938,2.85346085991479E-82,8.68325066167897E-20
566.5,37630,-145.890738736838,0,37775.8907387368,37775.8907387368,37775.8907387368,6.65794709133407E-77,3.29835353820006E-18
565.5,37715,-82.3205639515072,0,37797.3205639515,37797.3205639515,37797.3205639515,1.04107987894572E-71,1.09659781086158E-16
564.5,38019,204.8987090718,0,37814.1012909282,37814.1012909282,37814.1012909282,1.09094551115293E-66,3.19104441609229E-15
563.5,37947,120.498200966045,0,37826.501799034,37826.501799034,37826.501799034,7.66120987724025E-62,8.12743730484381E-14
562.5,37826,-8.78532997518778,0,37834.7853299752,37834.7853299752,37834.7853299752,3.60551206891623E-57,1.81179772973188E-12
561.5,37925,85.7905121706426,3.63797880709171E-11,37839.2094878294,37839.2094878294,37839.2094878294,1.13713451275407E-52,3.53509507509227E-11
560.5,37832,-8.02623900026083,6.03904481977224E-10,37840.0262390003,37840.0262390009,37840.0262390003,2.40343300908783E-48,6.03709194312755E-10
559.5,37914,76.5180877223611,9.02218744158745E-09,37837.4819122776,37837.4819122867,37837.4819122776,3.40429742042689E-44,9.0238067469706E-09
558.5,38148,316.182801192626,1.18052412290126E-07,37831.8171988074,37831.8171989254,37831.8171988074,3.23145612274814E-40,1.1805573407912E-07
557.5,38334,510.732847938314,1.35182199301198E-06,37823.2671520617,37823.2671534135,37823.2671520617,2.05562705277522E-36,1.35182256136637E-06
556.5,38109,296.938812091947,1.35483860503882E-05,37812.0611879081,37812.0612014564,37812.0611879081,8.76325963755079E-33,1.35483871714226E-05
555.5,37597,-201.423084517941,0.000118847710837144,37798.4230845179,37798.4232033657,37798.4230845179,2.50358492161201E-29,0.000118847708300988
554.5,37746,-36.5709824934602,0.000912492556381039,37782.5709824935,37782.571894986,37782.5709824935,4.79329622160979E-26,0.000912492553183766
553.5,37654,-110.717384707183,0.00613201417581877,37764.7173847072,37764.7235167214,37764.7173847072,6.15009046261077E-23,0.00613201417644518
552.5,37686,-59.0691564679146,0.0360671873495448,37745.0691564679,37745.1052236553,37745.0691564679,5.28815325033538E-20,0.0360671873516447
551.5,37620,-103.827525371686,0.185676399334625,37723.8275253717,37724.013201771,37723.8275253717,3.04720627884858E-17,0.185676399338049
550.5,37710,8.81191859208047,0.836635791187291,37701.1880814079,37702.0247171991,37701.1880814079,1.17672497220451E-14,0.836635791185038
549.5,37756,78.6592230703682,3.29952541591774,37677.3407769296,37680.6403023456,37677.3407769296,3.04525299549891E-12,3.29952541591668
548.5,37810,157.530073383823,11.3894255650011,37652.4699266162,37663.8593521812,37652.4699266162,5.28137592699051E-10,11.3894255644676
547.5,37715,88.2457924820483,34.4102215008097,37626.754207518,37661.1644290188,37626.754207518,6.1382712720126E-08,34.4102214394282
546.5,37613,12.6333409715444,90.9930958673504,37600.3666590285,37691.3597548958,37600.3666590285,4.78101787039108E-06,90.9930910863302
545.5,37938,364.525317046791,210.603307986887,37573.4746829532,37784.0779909401,37573.4746829532,0.000249557111324996,210.603058429775
544.5,38035,488.759956656024,426.643486431763,37546.240043344,37972.8835297757,37546.240043344,0.00872960968975647,426.634756822074
543.5,38159,640.181133259088,756.659641052604,37518.8188667409,38275.4785077935,37518.8188667409,0.204642105874836,756.454998946729
542.5,38640,1148.63835808262,1177.15320448204,37491.3616419174,38668.5148463994,37491.3616419174,3.21492214120544,1173.93828234084
541.5,39120,1655.98677990772,1628.41395428734,37464.0132200923,39092.4271743796,37464.0132200923,33.8470806743932,1594.56687361294
540.5,39595,2158.08718520962,2134.53288916737,37436.9128147904,39571.4457039578,37436.9128147904,238.807117706103,1895.72577146126
539.5,40479,3068.8059980832,3101.76286702517,37410.1940019168,40511.956868942,37410.1940019168,1129.14212703734,1972.62073998783
538.5,42819,5435.01528028399,5374.45743075512,37383.984719716,42758.4421504711,37383.984719716,3577.87569614042,1796.5817346147
537.5,46315,8956.5927311983,9029.75382991185,37358.4072688017,46388.1610987136,37358.4072688017,7597.61318866813,1432.14064124373
536.5,49197,11863.4216878656,11811.1759763225,37333.5783121344,49144.7542884569,37333.5783121344,10811.9593245657,999.216651756839
535.5,48231,10921.3911249787,10921.3410805321,37309.6088750213,48230.9499555534,37309.6088750213,10311.1456365525,610.195443979519
534.5,44142,6855.39565483294,6916.13677671982,37286.6043451671,44202.7411218869,37286.6043451671,6589.98964559413,326.147131125689
533.5,40325,3060.33552742749,2975.10380273013,37264.6644725725,40239.7682753026,37264.6644725725,2822.52525776914,152.578544960984
