#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
467.29999999999995,63.829970741152465,467.98999999999995,-81.34185142064908,2.1368853907162872,145.17182216180154,147.30870755251783,145.17182216180154,1.0825315056785646e-36,0.0,5.203394907205211e-139,7.713429613276382e-30,6.744797143933347e-16,1.3915736003624061e-06,2.119207307181859,0.017676691960836703
467.20000000000005,59.30551449990617,467.89000000000004,-85.86630766261572,3.1741227924729856,145.1718221625219,148.34594495499488,145.1718221625219,8.758575878200776e-36,0.0,1.0441425403678717e-136,2.9552696475341345e-29,2.4249832544301226e-15,2.8898686111725163e-06,3.146432145956217,0.027687756648134696
467.1,59.76536091633352,467.79,-85.40646124694877,4.650435833245638,145.1718221632823,149.82225799652792,145.1718221632823,6.916603622290147e-35,0.0,2.006490439213348e-134,1.1187633412743463e-28,8.551974468659241e-15,5.9238332828645515e-06,4.60746163051015,0.04296827890220811
467.0,104.39935774669539,467.69,-40.77246441734326,6.720395940720948,145.17182216403864,151.8922181047596,145.17182216403864,5.331123186309552e-34,0.0,3.692484673008314e-132,4.184762957893566e-28,2.958297506515212e-14,1.1986168259739021e-05,6.654317414796283,0.0660665397563824
466.9,89.14682448040821,467.59,-56.0249976839915,9.579257880881954,145.1718221643997,154.75108004528167,145.1718221643997,4.010615122742378e-33,0.0,6.507356650903158e-130,1.546660590877772e-27,1.0037720518722768e-13,2.393926020652502e-05,9.478589782025388,0.10064415959625117
466.79999999999995,100.88070232325208,467.48999999999995,-44.29111984164379,13.46821437541493,145.17182216489587,158.6400365403108,145.17182216489587,2.9448941907189685e-32,0.0,1.098233837490088e-127,5.648208216743312e-27,3.3407667263206814e-13,4.719477212880143e-05,13.316263251291494,0.15190392935096206
466.70000000000005,125.75596302826489,467.39000000000004,-19.415859137023205,18.678227438080228,145.1718221652881,163.85004960336832,145.1718221652881,2.1105460994403966e-31,0.0,1.7749631177455775e-125,2.0380643776792293e-26,1.0906238825937485e-12,9.183957696781593e-05,18.45098031009429,0.22715528840787674
466.6,217.07998016842976,467.29,71.90815800296971,25.551493129550153,145.17182216546004,170.7233152950102,145.17182216546004,1.4763401439040359e-30,0.0,2.7471865268159486e-123,7.266355134912073e-26,3.492381315183432e-12,0.00017640815935858882,25.21476632232272,0.33655039906458006
466.5,171.58097144948624,467.19,26.409149284663016,34.479487165649175,145.17182216482323,179.6513093304724,145.17182216482323,1.0079626844676932e-29,0.0,4.071845252385123e-121,2.559804879954461e-25,1.0969481712594625e-11,0.00033447239147394077,33.98512558365574,0.4940271095909939
466.4,250.209909039565,467.09,105.03808687497565,45.896523476362006,145.17182216458934,191.06834564095135,145.17182216458934,6.71690056284734e-29,0.0,5.779611989289516e-119,8.910224101098283e-25,3.3796238093511284e-11,0.0006259716938901403,45.17740065772836,0.7184968469059668
