BE/eV	PE: 20.0 eV
74.0	146.0
73.90000000000009	160.0
73.79999999999995	151.0
73.70000000000005	150.0
73.59999999999991	168.0
73.5	149.0
73.40000000000009	134.0
73.29999999999995	134.0
73.20000000000005	149.0
73.09999999999991	139.0
73.0	154.0
72.90000000000009	143.0
72.79999999999995	133.0
72.70000000000005	143.0
72.59999999999991	146.0
72.5	148.0
72.40000000000009	132.0
72.29999999999995	141.0
72.20000000000005	138.0
72.09999999999991	144.0
72.0	133.0
71.90000000000009	152.0
71.79999999999995	144.0
71.70000000000005	162.0
71.59999999999991	156.0
71.5	151.0
71.40000000000009	139.0
71.29999999999995	157.0
71.20000000000005	154.0
71.09999999999991	131.0
71.0	145.0
70.90000000000009	148.0
70.79999999999995	142.0
70.70000000000005	130.0
70.59999999999991	127.0
70.5	142.0
70.40000000000009	158.0
70.29999999999995	154.0
70.20000000000005	146.0
70.09999999999991	139.0
70.0	144.0
69.90000000000009	152.0
69.79999999999995	160.0
69.70000000000005	131.0
69.59999999999991	149.0
69.5	152.0
69.40000000000009	170.0
69.29999999999995	159.0
69.20000000000005	150.0
69.09999999999991	131.0
69.0	148.0
68.90000000000009	149.0
68.79999999999995	125.0
68.70000000000005	140.0
68.59999999999991	148.0
68.5	160.0
68.40000000000009	140.0
68.29999999999995	136.0
68.20000000000005	136.0
68.09999999999991	138.0
68.0	170.0
67.90000000000009	159.0
67.79999999999995	151.0
67.70000000000005	147.0
67.59999999999991	134.0
67.5	140.0
67.40000000000009	154.0
67.29999999999995	146.0
67.20000000000005	143.0
67.09999999999991	141.0
67.0	152.0
66.90000000000009	137.0
66.79999999999995	134.0
66.70000000000005	154.0
66.59999999999991	141.0
66.5	119.0
66.40000000000009	122.0
66.29999999999995	155.0
66.20000000000005	141.0
66.09999999999991	157.0
66.0	151.0
65.90000000000009	135.0
65.79999999999995	156.0
65.70000000000005	160.0
65.59999999999991	146.0
65.5	122.0
65.40000000000009	130.0
65.29999999999995	145.0
65.20000000000005	144.0
65.09999999999991	165.0
65.0	176.0
64.90000000000009	150.0
64.79999999999995	133.0
64.70000000000005	153.0
64.59999999999991	151.0
64.5	143.0
64.40000000000009	143.0
64.29999999999995	126.0
64.20000000000005	139.0
64.09999999999991	151.0
64.0	159.0
63.90000000000009	140.0
63.799999999999955	144.0
63.700000000000045	130.0
63.59999999999991	135.0
63.5	150.0
63.40000000000009	134.0
63.299999999999955	152.0
63.200000000000045	148.0
63.09999999999991	143.0
63.0	132.0
62.90000000000009	131.0
62.799999999999955	137.0
62.700000000000045	132.0
62.59999999999991	154.0
62.5	139.0
62.40000000000009	155.0
62.299999999999955	144.0
62.200000000000045	150.0
62.09999999999991	135.0
62.0	152.0
61.90000000000009	162.0
61.799999999999955	154.0
61.700000000000045	154.0
61.59999999999991	140.0
61.5	139.0
61.40000000000009	130.0
61.299999999999955	145.0
61.200000000000045	150.0
61.09999999999991	143.0
61.0	165.0
60.90000000000009	140.0
60.799999999999955	154.0
60.700000000000045	140.0
60.59999999999991	146.0
60.5	145.0
60.40000000000009	134.0
60.299999999999955	134.0
60.200000000000045	134.0
60.09999999999991	152.0
60.0	149.0
59.90000000000009	128.0
59.799999999999955	143.0
59.700000000000045	136.0
59.59999999999991	135.0
59.5	142.0
59.40000000000009	147.0
59.299999999999955	126.0
59.200000000000045	141.0
59.09999999999991	145.0
59.0	149.0
58.90000000000009	151.0
58.799999999999955	159.0
58.700000000000045	135.0
58.59999999999991	151.0
58.5	133.0
58.40000000000009	136.0
58.299999999999955	154.0
58.200000000000045	168.0
58.09999999999991	141.0
58.0	142.0
57.90000000000009	143.0
57.799999999999955	161.0
57.700000000000045	155.0
57.59999999999991	151.0
57.5	149.0
57.40000000000009	150.0
57.299999999999955	135.0
57.200000000000045	144.0
57.09999999999991	138.0
57.0	138.0
