BE/eV	PE: 20.0 eV
285.0	2000.0
284.9000000000001	2198.0
284.79999999999995	2385.0
284.70000000000005	2599.0
284.5999999999999	3074.0
284.5	3766.0
284.4000000000001	4808.0
284.29999999999995	6490.0
284.20000000000005	9072.0
284.0999999999999	12707.0
284.0	16208.0
283.9000000000001	18090.0
283.79999999999995	16484.0
283.70000000000005	12265.0
283.5999999999999	7589.0
283.5	4229.0
283.4000000000001	2363.0
283.29999999999995	1432.0
283.20000000000005	1013.0
283.0999999999999	714.0
283.0	561.0
282.9000000000001	431.0
282.79999999999995	358.0
282.70000000000005	307.0
282.5999999999999	242.0
282.5	208.0
282.4000000000001	166.0
282.29999999999995	125.0
282.20000000000005	112.0
282.0999999999999	124.0
282.0	106.0
281.9000000000001	89.0
281.79999999999995	100.0
281.70000000000005	88.0
281.5999999999999	78.0
281.5	73.0
281.4000000000001	80.0
281.29999999999995	77.0
281.20000000000005	74.0
281.0999999999999	70.0
281.0	51.0
280.9000000000001	62.0
280.79999999999995	56.0
280.70000000000005	58.0
280.5999999999999	53.0
280.5	53.0
280.4000000000001	52.0
280.29999999999995	60.0
280.20000000000005	61.0
280.0999999999999	59.0
280.0	53.0
279.9000000000001	51.0
279.79999999999995	45.0
279.70000000000005	38.0
279.5999999999999	46.0
279.5	40.0
279.4000000000001	49.0
279.29999999999995	30.0
279.20000000000005	38.0
279.0999999999999	46.0
279.0	37.0
278.9000000000001	44.0
278.79999999999995	46.0
278.70000000000005	39.0
278.5999999999999	28.0
278.5	33.0
278.4000000000001	33.0
278.29999999999995	24.0
278.20000000000005	30.0
278.0999999999999	46.0
278.0	36.0
277.9000000000001	41.0
277.79999999999995	34.0
277.70000000000005	49.0
277.5999999999999	36.0
277.5	32.0
277.4000000000001	45.0
277.29999999999995	37.0
277.20000000000005	42.0
277.0999999999999	36.0
277.0	29.0
276.9000000000001	29.0
276.79999999999995	42.0
276.70000000000005	36.0
276.5999999999999	31.0
276.5	37.0
276.4000000000001	29.0
276.29999999999995	24.0
276.20000000000005	35.0
276.0999999999999	39.0
276.0	32.0
275.9000000000001	26.0
275.79999999999995	30.0
275.70000000000005	33.0
275.5999999999999	34.0
275.5	37.0
275.4000000000001	32.0
275.29999999999995	25.0
275.20000000000005	28.0
275.0999999999999	30.0
275.0	35.0
274.9000000000001	37.0
274.79999999999995	38.0
274.70000000000005	25.0
274.5999999999999	33.0
274.5	31.0
274.4000000000001	33.0
274.29999999999995	38.0
274.20000000000005	36.0
274.0999999999999	36.0
274.0	29.0
273.9000000000001	21.0
273.79999999999995	26.0
273.70000000000005	29.0
273.5999999999999	35.0
273.5	36.0
273.4000000000001	43.0
273.29999999999995	37.0
273.20000000000005	30.0
273.0999999999999	33.0
273.0	33.0
272.9000000000001	30.0
272.79999999999995	35.0
272.70000000000005	37.0
272.5999999999999	27.0
272.5	27.0
272.4000000000001	34.0
272.29999999999995	32.0
272.20000000000005	30.0
272.0999999999999	41.0
272.0	32.0
271.9000000000001	36.0
271.79999999999995	34.0
271.70000000000005	30.0
271.5999999999999	38.0
271.5	33.0
271.4000000000001	30.0
271.29999999999995	35.0
271.20000000000005	34.0
271.0999999999999	28.0
271.0	23.0
270.9000000000001	21.0
270.79999999999995	25.0
270.70000000000005	26.0
270.5999999999999	32.0
270.5	33.0
270.4000000000001	40.0
270.29999999999995	33.0
270.20000000000005	27.0
270.0999999999999	38.0
270.0	37.0
269.9000000000001	40.0
269.79999999999995	41.0
269.70000000000005	32.0
269.5999999999999	26.0
269.5	35.0
269.4000000000001	37.0
269.29999999999995	27.0
269.20000000000005	35.0
269.0999999999999	36.0
269.0	36.0
268.9000000000001	34.0
268.79999999999995	31.0
268.70000000000005	29.0
268.5999999999999	31.0
268.5	22.0
268.4000000000001	31.0
268.29999999999995	34.0
268.20000000000005	43.0
268.0999999999999	31.0
268.0	26.0
267.9000000000001	33.0
267.79999999999995	30.0
267.70000000000005	33.0
267.5999999999999	27.0
267.5	24.0
267.4000000000001	38.0
267.29999999999995	40.0
267.20000000000005	34.0
267.0999999999999	29.0
267.0	30.0
266.9000000000001	33.0
266.79999999999995	34.0
266.70000000000005	36.0
266.5999999999999	38.0
266.5	26.0
266.4000000000001	29.0
266.29999999999995	22.0
266.20000000000005	27.0
266.0999999999999	34.0
266.0	37.0
265.9000000000001	36.0
265.79999999999995	24.0
265.70000000000005	31.0
265.5999999999999	27.0
265.5	28.0
265.4000000000001	26.0
265.29999999999995	32.0
265.20000000000005	28.0
265.0999999999999	34.0
265.0	31.0
264.9000000000001	28.0
264.79999999999995	29.0
264.70000000000005	28.0
264.5999999999999	42.0
264.5	37.0
264.4000000000001	32.0
264.29999999999995	26.0
264.20000000000005	25.0
264.0999999999999	39.0
264.0	34.0
263.9000000000001	32.0
263.79999999999995	34.0
263.70000000000005	31.0
263.5999999999999	23.0
263.5	26.0
263.4000000000001	25.0
263.29999999999995	34.0
263.20000000000005	35.0
263.0999999999999	36.0
263.0	36.0
262.9000000000001	36.0
262.79999999999995	34.0
262.70000000000005	30.0
262.5999999999999	37.0
262.5	34.0
262.4000000000001	30.0
262.29999999999995	27.0
262.20000000000005	34.0
262.0999999999999	36.0
262.0	49.0
261.9000000000001	33.0
261.79999999999995	28.0
261.70000000000005	24.0
261.5999999999999	27.0
261.5	26.0
261.4000000000001	32.0
261.29999999999995	26.0
261.20000000000005	35.0
261.0999999999999	27.0
261.0	30.0
260.9000000000001	34.0
260.79999999999995	38.0
260.70000000000005	32.0
260.5999999999999	32.0
260.5	32.0
260.4000000000001	28.0
260.29999999999995	32.0
260.20000000000005	28.0
260.0999999999999	31.0
260.0	33.0
259.9000000000001	33.0
259.79999999999995	34.0
259.70000000000005	37.0
259.5999999999999	31.0
259.5	30.0
259.4000000000001	36.0
259.29999999999995	37.0
259.20000000000005	32.0
259.0999999999999	32.0
259.0	30.0
258.9000000000001	29.0
258.79999999999995	30.0
258.70000000000005	23.0
258.5999999999999	30.0
258.5	38.0
258.4000000000001	28.0
258.29999999999995	29.0
258.20000000000005	31.0
258.0999999999999	27.0
258.0	30.0
257.9000000000001	30.0
257.79999999999995	22.0
257.70000000000005	28.0
257.5999999999999	27.0
257.5	33.0
257.4000000000001	29.0
257.29999999999995	26.0
257.20000000000005	28.0
257.0999999999999	23.0
257.0	27.0
256.9000000000001	30.0
256.79999999999995	27.0
256.70000000000005	37.0
256.5999999999999	29.0
256.5	35.0
256.4000000000001	30.0
256.29999999999995	35.0
256.20000000000005	36.0
256.0999999999999	25.0
256.0	28.0
255.9000000000001	26.0
255.79999999999995	30.0
255.70000000000005	45.0
255.5999999999999	37.0
255.5	31.0
255.4000000000001	20.0
255.29999999999995	17.0
255.20000000000005	26.0
255.0999999999999	30.0
255.0	30.0
