#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,TiC,Ti 2+,Ti 3+,Ti 4+,TiC (2p1/2),Ti 2+ (2p1/2)
467.5,15775.0,467.9195,456.0,-15246.496794972616,15319.0,72.50320502738326,2.568342387801035e-177,5.7754134180902354e-89,9.864919340243442e-130,72.49727532711807,9.452787745442792e-31,0.0059297002651812454
467.4,15599.0,467.8195,280.0,-15244.991905231256,15319.0,74.0080947687431,1.6119011098860014e-174,2.0714219442113076e-87,2.9273125015918345e-127,73.99882233550223,8.74412601401955e-30,0.009272433240886536
467.29999999999995,15498.0,467.7195,179.0,-15243.43859919172,15319.0,75.56140080827988,9.619734873705891e-172,7.206835748405876e-86,8.233035481702497e-125,75.54701106693425,7.829632109434385e-29,0.014389741345635821
467.20000000000005,15558.0,467.6195000000001,239.0,-15241.834066072182,15319.0,77.16593392781844,5.459179213503025e-169,2.432266911066884e-84,2.1946548921001152e-122,77.14377184577111,6.786308472262401e-28,0.02216208204733758
467.1,15670.0,467.51950000000005,351.0,-15240.174991297035,15319.0,78.82500870296533,2.945991321922182e-166,7.96284744216013e-83,5.544824931528848e-120,78.791134707309,5.693665688438044e-27,0.03387399565632983
467.0,15555.0,467.4195,236.0,-15238.457381302562,15319.0,80.54261869743739,1.5117353729694805e-163,2.5288095041994896e-81,1.3277759270008093e-117,80.49123556279339,4.623972919505723e-26,0.05138313464399378
466.9,15565.0,467.3195,246.0,-15236.67632492299,15319.0,82.3236750770102,7.376674544288797e-161,7.790303741343432e-80,3.0135409209905074e-115,82.2463228074127,3.634982875125691e-25,0.07735226959749401
466.79999999999995,15433.0,467.2195,114.0,-15234.825671257433,15319.0,84.17432874256636,3.422838027331135e-158,2.3280013244885316e-78,6.482533153763127e-113,84.05876440741208,2.7659990933924e-24,0.1155643351542736
466.70000000000005,15466.0,467.1195000000001,147.0,-15232.897598921381,15319.0,86.1024010786195,1.5102654930422094e-155,6.748427884614942e-77,1.321684359687186e-110,85.93105550579493,2.0373379512284307e-23,0.17134557282456386
466.6,15532.0,467.01950000000005,213.0,-15230.882045892193,15319.0,88.1179541078067,6.336680873442724e-153,1.8976344482218672e-75,2.5540306554740114e-108,87.86582658970316,1.4525606931210754e-22,0.25212751810353623
466.5,15514.0,466.9195,195.0,-15228.765962888734,15319.0,90.23403711126542,2.528205205721053e-150,5.1762239287501296e-74,4.6777802014196235e-106,89.86585226651474,1.0024540099674318e-21,0.36818484475068597
466.4,15437.0,466.8195,118.0,-15226.532346616588,15319.0,92.46765338341206,9.591910705845494e-148,1.3696326888615822e-72,8.120240047578507e-104,91.93406070016191,6.696569245960269e-21,0.5335926832501439
466.29999999999995,15371.0,466.7195,52.0,-15224.159002646209,15319.0,94.84099735379161,3.4605141850263585e-145,3.5154888551824665e-71,1.3360209709351695e-101,94.07354376394309,4.3300885884159314e-20,0.7674535898485154
466.20000000000005,15530.0,466.6195000000001,211.0,-15221.616981734267,15319.0,97.38301826573242,1.1871872640908407e-142,8.753019467293737e-70,2.083401790771771e-99,96.28756797148053,2.710169657517315e-19,1.0954502942518844
466.1,15476.0,466.51950000000005,157.0,-15218.868628819342,15319.0,100.1313711806572,3.8729448130691897e-140,2.114076114291321e-68,3.0792726305983443e-97,98.5795862533748,1.641913293289951e-18,1.551784927282402
466.0,15522.0,466.4195,203.0,-15215.865181719215,15319.0,103.13481828078446,1.2014543579624196e-137,4.9530635542525786e-67,4.313587394652442e-95,100.9532506535624,9.628458474911573e-18,2.1815676272220577
465.9,15389.0,466.3195,70.0,-15212.543857954535,15319.0,106.45614204546412,3.544194496567027e-135,1.1256872260995422e-65,5.727227196174801e-93,103.4124260266634,5.4653107720796435e-17,3.043716018800729
465.79999999999995,15490.0,466.2195,171.0,-15208.824374557173,15319.0,110.17562544282758,9.94197209445517e-133,2.4817162895971896e-64,7.207183385494308e-91,105.96120482547053,3.0027783223804593e-16,4.21442061735705
465.70000000000005,15575.0,466.1195000000001,256.0,-15204.604858780327,15319.0,114.39514121967214,2.651994909930232e-130,5.307342084243891e-63,8.596112380305737e-89,108.60392307657912,1.5969111013832936e-15,5.791218143093021
465.6,15466.0,466.01950000000005,147.0,-15199.757128964358,15319.0,119.24287103564117,6.726953509844928e-128,1.1010133544765451e-61,9.717486526211878e-87,111.34517765190145,8.22026867863857e-15,7.89769338373971
