#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,C=C,pi-pi*,pi-pi*2,C-C,C-O,C=O,O-C=O
294.9000000000001,53.075342314693785,295.5708000000001,22.68206751556852,7.210427730974082,30.393274799125265,37.60370253009935,18.58012249622975,1.2733001454893849,6.42018470663896,5.303509045856949,5.677924000749629,0.0320205502146368,0.31664158492003136
294.79999999999995,70.25040755311136,295.47079999999994,39.85713275398609,11.535851326305156,30.393274799125265,41.92912612543042,18.92003175348638,1.6881253016908444,9.74699072871427,5.409986978684467,5.8038640288299765,0.032908290226083325,0.32721904379839734
294.70000000000005,30.393274799125265,295.37080000000003,-3.552713678800501e-15,17.62324349716908,30.39327479912527,48.01651829629435,19.269355606158303,2.2234953348063744,14.69772952548901,5.5197342953039055,5.934030421903461,0.03383373923812503,0.3383393733951681
294.5999999999999,73.54081289121712,295.2707999999999,43.14989122050426,25.921892007993318,30.39092167071286,56.31281367870618,19.628445008288256,2.9095472809747895,21.68848017724781,5.6328875541149115,6.068613921853073,0.034799080244298536,0.35004065598304607
294.5,116.81102401701446,295.1708,86.42716867839698,36.7298837612811,30.38385533861748,67.11373909989858,19.997667422846547,3.782441922756105,30.97805197944481,5.749590592982995,6.207816123918841,0.035806657823206973,0.3623644001260747
294.4000000000001,99.11754220942919,295.0708000000001,68.74214884648472,50.02398040134851,30.375393362944468,80.39937376429297,20.377407762583086,4.885137259905251,42.50276859919598,5.869995005032871,6.351850224138638,0.03685899283155425,0.3753559206055755
294.29999999999995,100.40076546279658,294.97079999999994,70.03294003560691,65.31949545258563,30.36782542718967,95.6873208797753,20.768069394033155,6.2681434382992025,55.72888200097745,5.994260651541472,6.5009418273506325,0.03795879869423577,0.3890647688791628
294.20000000000005,100.6862155030633,294.87080000000003,70.32604438750316,81.61113871203565,30.36017111556014,111.97130982759579,21.1700752095783,7.9902199511548355,69.59047440865412,6.122556215317442,6.6553298214159184,0.039108999494977176,0.4035452219802064
294.0999999999999,145.03502544484184,294.7707999999999,114.68494368525288,97.45557920849527,30.350081759588953,127.80566096808423,21.583868772895755,10.118967379901603,82.57332810375543,6.255059798310431,6.815267323920147,0.04031275010096125,0.41885683919988714
294.0,136.4345814490938,294.6708,106.09653974724085,111.21661744243113,30.338041701852937,141.55465914428407,22.00991554357124,12.73125773588081,92.96386503276389,6.391959567581785,6.981022708270545,0.04157345858976203,0.43506509762603024
