#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C-O,TiO2
540.0,223.0,540.6287,59.69971454422807,6.8925923812912515e-06,163.30028545577193,163.3002923483643,163.30028545577193,6.892592390854179e-06,2.518626328771348e-180
539.9,141.0,540.5287,-22.300285417117095,1.0993338946718723e-05,163.3002854171171,163.30029641045604,163.3002854171171,1.0993338933630693e-05,6.015738054485376e-177
539.8,150.0,540.4286999999999,-13.300285431556176,1.7435881289884492e-05,163.30028543155618,163.30030286743747,163.30028543155618,1.743588127719237e-05,1.3365316168218058e-173
539.7,228.0,540.3287,64.6997145598321,2.7499541459974353e-05,163.3002854401679,163.30031293970936,163.3002854401679,2.749954146620233e-05,2.762070105518378e-170
539.6,244.0,540.2287,80.69971460172434,4.3129484311066335e-05,163.30028539827566,163.30032852775997,163.30028539827566,4.312948430157416e-05,5.3095204660623614e-167
539.5,353.0,540.1287,189.69971465397637,6.726518518007651e-05,163.30028534602363,163.3003526112088,163.30028534602363,6.726518517216834e-05,9.493821063935632e-164
539.4,313.0,540.0287,149.69971477680443,0.00010432146629568706,163.30028522319557,163.30038954466187,163.30028522319557,0.00010432146628797751,1.5790356166005002e-160
539.3,59.0,539.9286999999999,-104.30028512626697,0.00016088823485915782,163.30028512626697,163.30044601450183,163.30028512626697,0.00016088823487298663,2.4429127217276674e-157
539.2,210.0,539.8287,46.699714806200035,0.00024674147420000736,163.30028519379997,163.30053193527417,163.30028519379997,0.0002467414741916312,3.515516311983806e-154
539.1,312.0,539.7287,148.69971483643752,0.00037629399440675115,163.30028516356248,163.30066145755688,163.30028516356248,0.0003762939944148698,4.7058212309996624e-151
539.0,0.0,539.6287,-163.30028506728135,0.0005706629575570332,163.30028506728135,163.3008557302389,163.30028506728135,0.0005706629575510382,5.859315360822993e-148
538.9,124.09926905230532,539.5287,-39.20101612071073,0.0008605960381089517,163.30028517301605,163.30114576905416,163.30028517301605,0.0008605960381204655,6.786150123985297e-145
538.8,277.4204512995948,539.4286999999999,114.12016610119667,0.0012905839676591313,163.30028519839811,163.30157578236577,163.30028519839811,0.0012905839676578125,7.310804890678336e-142
538.7,150.76296227490457,539.3287,-12.53732284960222,0.0019245998734618297,163.3002851245068,163.30220972438025,163.3002851245068,0.0019245998734664256,7.326086895708641e-139
538.6,142.9979464713324,539.2287,-20.30233866129211,0.002854052146403774,163.3002851326245,163.3031391847709,163.3002851326245,0.0028540521464050193,6.828795050115747e-136
538.5,121.20929019798677,539.1287,-42.09099494778317,0.004208725667837143,163.30028514576995,163.30449387143778,163.30028514576995,0.004208725667830437,5.9208114731043465e-133
538.4,123.40496117251678,539.0287,-39.89532400050646,0.006171725435137887,163.30028517302324,163.30645689845838,163.30028517302324,0.006171725435129799,4.775111622289712e-130
538.3,94.57933040295211,538.9286999999999,-68.72095479590277,0.008999737440603894,163.30028519885488,163.30928493629548,163.30028519885488,0.008999737440596716,3.5822093610245366e-127
538.2,293.8900734868421,538.8287,130.58978824349137,0.01305029550039194,163.30028524335071,163.3133355388511,163.30028524335071,0.013050295500391383,2.499674972749496e-124
538.1,230.3093892836696,538.7287,67.00910412487406,0.01881820154372349,163.30028515879553,163.31910336033926,163.30028515879553,0.01881820154372626,1.6224871303915814e-121
538.0,123.5924812274261,538.6287,-39.707803887981896,0.026983802485233355,163.300285115408,163.32726891789324,163.300285115408,0.026983802485229965,9.795894979115955e-119
537.9,140.80397631497908,538.5287,-22.496308826139142,0.038476489994138774,163.30028514111822,163.33876163111236,163.30028514111822,0.03847648999413641,5.501386043756821e-116
537.8,127.01821170084258,538.4286999999999,-36.28207345484162,0.05455756868894923,163.3002851556842,163.35484272437316,163.3002851556842,0.05455756868896069,2.8738577220037716e-113
537.7,148.23839400004,538.3287,-15.061891179136325,0.07692753796598595,163.3002851791763,163.3772127171423,163.3002851791763,0.07692753796598127,1.3964440714820292e-110
537.6,235.54538897847488,538.2287,72.24510378954622,0.10786385114329278,163.30028518892865,163.40814904007195,163.30028518892865,0.10786385114329912,6.311709048000122e-108
537.5,260.942537860612,538.1287,97.64225271846112,0.15039634255018086,163.30028514215087,163.45068148470105,163.30028514215087,0.15039634255017748,2.6536004756017138e-105
537.4,157.27707863028445,538.0287,-6.023206448644316,0.20852872671022737,163.30028507892877,163.508813805639,163.30028507892877,0.2085287267102359,1.037741638826375e-102
537.3,218.57773109222217,537.9286999999999,55.277446009393486,0.28751583710030104,163.30028508282868,163.58780091992898,163.30028508282868,0.2875158371003123,3.7749229408463756e-100
537.2,205.91729166287405,537.8287,42.61700661583683,0.39420753008232623,163.30028504703722,163.69449257711955,163.30028504703722,0.39420753008231874,1.2772975508324815e-97
537.1,108.16853409567193,537.7287,-55.13175092377131,0.5374713558001645,163.30028501944324,163.8377563752434,163.30028501944324,0.5374713558001719,4.020140295126967e-95
537.0,36.2840841276975,537.6287,-127.01620092744275,0.7287070907085251,163.30028505514025,164.02899214584878,163.30028505514025,0.7287070907085181,1.1769431361450692e-92
536.9,29.33657517546635,537.5287,-133.96370996191513,0.9824669076080568,163.30028513738148,164.28275204498954,163.30028513738148,0.982466907608058,3.2050506170497503e-90
536.8,105.44438869163787,537.4286999999999,-57.85589653248326,1.3171951722491428,163.30028522412113,164.61748039637027,163.30028522412113,1.3171951722491384,8.11856825041179e-88
536.7,186.6780622586375,537.3287,23.37777699705552,1.756101417207276,163.300285261582,165.05638667878927,163.300285261582,1.7561014172072769,1.9128862282371902e-85
536.6,282.053007973318,537.2287,118.75272272687289,2.32817874628671,163.30028524644513,165.62846399273184,163.30028524644513,2.328178746286697,4.19241219961792e-83
536.5,108.36531002573611,537.1287,-54.93497514381818,3.069377540832562,163.3002851695543,166.36966271038685,163.3002851695543,3.0693775408325745,8.546808097528132e-81
536.4,49.4915823577503,537.0287,-113.80870284737361,4.023940639760212,163.3002852051239,167.32422584488413,163.3002852051239,4.023940639760211,1.6207240275103806e-78
536.3,29.554812873127958,536.9286999999999,-133.7454724056855,5.24590092028447,163.30028527881345,168.54618619909792,163.30028527881345,5.24590092028448,2.858770748329755e-76
536.2,64.63015298084974,536.8287,-98.67013238456204,6.800735212664847,163.30028536541178,170.10102057807663,163.30028536541178,6.800735212664834,4.690452365086184e-74
536.1,134.78967218836078,536.7287,-28.51061324093854,8.76715958210707,163.30028542929932,172.0674450114064,163.30028542929932,8.767159582107068,7.158388603314052e-72
536.0,295.1335748851543,536.6287,131.8332894373948,11.239040118406763,163.3002854477595,174.53932556616627,163.3002854477595,11.239040118406766,1.0162041247188912e-69
535.9,205.53406719041777,536.5287,42.23378182801858,14.327380503598334,163.3002853623992,177.62766586599753,163.3002853623992,14.327380503598341,1.3418741196372835e-67
535.8,131.80390940216967,536.4286999999999,-31.496375932883666,18.16233292396356,163.30028533505333,181.4626182590169,163.30028533505333,18.162332923963547,1.6481917709626945e-65
535.7,251.11020872129848,536.3287,87.80992336585172,22.895162658487664,163.30028535544676,186.19544801393442,163.30028535544676,22.89516265848767,1.883080331408335e-63
535.6,215.48344468096548,536.2287,52.1831593823745,28.700079397914692,163.30028529859098,192.00036469650567,163.30028529859098,28.70007939791469,2.0012211961523413e-61
535.5,170.79243312710787,536.1287,7.492147862304847,35.77583071576882,163.30028526480302,199.07611598057184,163.30028526480302,35.77583071576881,1.9782741773068875e-59
535.4,119.02426228217155,536.0287,-44.27602297778037,44.34693602509441,163.30028525995192,207.64722128504633,163.30028525995192,44.3469360250944,1.8190431921591787e-57
535.3,182.26526874768388,535.9286999999999,18.964983459063887,54.664423916526005,163.30028528862,217.964709205146,163.30028528862,54.664423916526,1.5558390997509882e-55
535.2,379.71480587904625,535.8287,216.4145206027059,67.00592327380477,163.30028527634036,230.30620855014513,163.30028527634036,67.00592327380477,1.237802891674298e-53
535.1,230.2026889435365,535.7287,66.90240380732166,81.67495043242408,163.30028513621482,244.9752355686389,163.30028513621482,81.67495043242408,9.160168139909635e-52
535.0,390.6993587330362,535.6287,227.39907364013982,98.99923239601776,163.3002850928964,262.29951748891415,163.3002850928964,98.99923239601773,6.305514650845416e-50
534.9,229.19522263361068,535.5287,65.8949376879522,119.32791126159256,163.3002849456585,282.62819620725105,163.3002849456585,119.32791126159255,4.037409251900927e-48
534.8,169.51415684278618,535.4286999999999,6.213871939793819,143.02748892731535,163.30028490299236,306.3277738303077,163.30028490299236,143.02748892731537,2.4046404578886838e-46
534.7,136.759149912672,535.3287,-26.541134986296925,170.47639504152153,163.30028489896893,333.77667994049045,163.30028489896893,170.4763950415215,1.3321792562341417e-44
534.6,244.06377645295834,535.2287,80.76349153680445,202.0580958176226,163.30028491615388,365.35838073377647,163.30028491615388,202.0580958176226,6.864996576772716e-43
534.5,306.5041848465862,535.1287,143.20389998272563,238.1527071193381,163.30028486386058,401.4529919831987,163.30028486386058,238.1527071193381,3.2906608500847427e-41
534.4,222.9276861329272,535.0287,59.62740136178925,279.1271318406249,163.30028477113794,442.42741661176285,163.30028477113794,279.1271318406249,1.4672059000028775e-39
534.3,385.4143089291192,534.9286999999999,222.11402419658927,325.32380807138634,163.30028473252995,488.62409280391626,163.30028473252995,325.32380807138634,6.085049932384281e-38
534.2,450.08263671714667,534.8287,286.78235212843265,377.04822908197764,163.30028458871405,540.3485136706917,163.30028458871405,377.0482290819776,2.3474825302674886e-36
534.1,471.8200819082176,534.7287,308.5197975051913,434.55547618405427,163.3002844030263,597.8557605870806,163.3002844030263,434.5554761840542,8.423755109136785e-35
534.0,634.7052097407523,534.6287,471.4049255374884,498.036087649913,163.30028420326386,661.3363718531768,163.30028420326386,498.03608764991293,2.8117340338803035e-33
533.9,740.805503448828,534.5287,577.5052195507925,567.6016670152616,163.30028389803547,730.901950913297,163.30028389803547,567.6016670152616,8.729872156801783e-32
533.8,745.9948195514808,534.4286999999999,582.6945360273721,643.2707076033357,163.30028352410858,806.5709911274444,163.30028352410858,643.2707076033357,2.521196357433578e-30
533.7,900.3117273136177,534.3287,737.011444166796,724.9551720198527,163.30028314682167,888.2554551666744,163.30028314682167,724.9551720198527,6.772836620013839e-29
533.6,902.7540293533784,534.2287,739.4537466837618,812.4484106314347,163.30028266961668,975.7486933010514,163.30028266961668,812.4484106314347,1.6923869537026206e-27
