#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C_1
540.0,31.0,540.6482,-125.12309506720493,12.290395670433384,156.12309506720493,168.4134907376383,156.12309506720493,12.290395670433371
539.9,155.0,540.5482,-1.1230956424096803,12.621190154029506,156.12309564240968,168.7442857964392,156.12309564240968,12.621190154029504
539.8,198.0,540.4481999999999,41.87690435242982,12.965709547084913,156.12309564757018,169.0888051946551,156.12309564757018,12.965709547084902
539.7,208.0,540.3482,51.87690454494597,13.32473528493233,156.12309545505403,169.44783073998636,156.12309545505403,13.324735284932334
539.6,202.0,540.2482,45.87690478343342,13.69910613436059,156.12309521656658,169.82220135092717,156.12309521656658,13.699106134360578
539.5,267.0,540.1482,110.87690499433808,14.089723406783008,156.12309500566192,170.21281841244493,156.12309500566192,14.089723406783017
539.4,123.0,540.0482,-33.12309449594375,14.497556743872252,156.12309449594375,170.620651239816,156.12309449594375,14.497556743872241
539.3,217.0,539.9481999999999,60.87690535178757,14.92365055021736,156.12309464821243,171.0467451984298,156.12309464821243,14.923650550217367
539.2,147.0,539.8482,-9.12309436835082,15.369131158944754,156.12309436835082,171.49222552729557,156.12309436835082,15.369131158944747
539.1,231.0,539.7482,74.87690558971164,15.835214829630957,156.12309441028836,171.95830923991932,156.12309441028836,15.835214829630965
539.0,221.0,539.6482,64.8769059339331,16.32321669366209,156.1230940660669,172.446310759729,156.1230940660669,16.323216693662086
538.9,207.0,539.5482,50.87690623218327,16.834560780952245,156.12309376781673,172.95765454876897,156.12309376781673,16.834560780952255
538.8,75.0,539.4481999999999,-81.12309353392641,17.37079128427493,156.1230935339264,173.49388481820134,156.1230935339264,17.370791284274922
538.7,191.0,539.3482,34.876906093142594,17.933585244173315,156.1230939068574,174.05667915103072,156.1230939068574,17.93358524417331
538.6,105.0,539.2482,-51.12309374652119,18.524766869509563,156.1230937465212,174.64786061603075,156.1230937465212,18.52476686950956
538.5,283.0,539.1482,126.87690601846174,19.146323747450765,156.12309398153826,175.26941772898903,156.12309398153826,19.14632374745076
538.4,186.0,539.0482,29.87690660173402,19.8004252437494,156.12309339826598,175.92351864201538,156.12309339826598,19.800425243749398
538.3,165.0,538.9481999999999,8.876906739084603,20.489443451628375,156.1230932609154,176.61253671254377,156.1230932609154,20.489443451628386
538.2,0.0,538.8482,-156.12309322010458,21.21597711825271,156.12309322010458,177.3390703383573,156.12309322010458,21.215977118252713
538.1,257.1047863693939,538.7482,100.98169243157346,21.982879065351653,156.1230939378204,178.10597300317207,156.1230939378204,21.98287906535165
538.0,226.3018049561024,538.6482,70.17871148251055,22.793287729951146,156.12309347359184,178.91638120354298,156.12309347359184,22.79328772995116
537.9,201.4761513756448,538.5482,45.35305822467623,23.650663589249774,156.12309315096857,179.77375674021835,156.12309315096857,23.65066358924979
537.8,122.60823614475885,538.4481999999999,-33.514856797713264,24.558831409585196,156.1230929424721,180.6819243520573,156.1230929424721,24.5588314095852
537.7,258.76366918010626,538.3482,102.64057608356447,25.522029486356416,156.1230930965418,181.6451225828982,156.1230930965418,25.52202948635641
537.6,264.9771264916444,538.2482,108.85403386695731,26.54496733797049,156.1230926246871,182.6680599626576,156.1230926246871,26.54496733797048
537.5,104.12755986379398,538.1482,-51.99553226047436,27.632893708632878,156.12309212426834,183.75598583290122,156.12309212426834,27.632893708632874
537.4,142.22796523321358,538.0482,-13.895127130082528,28.791677259748184,156.1230923632961,184.9147696230443,156.1230923632961,28.791677259748184
537.3,226.37819542478974,537.9481999999999,70.2551029976184,30.027903041905034,156.12309242717134,186.15099546907638,156.12309242717134,30.027903041905034
537.2,214.55790461538982,537.8482,58.434812511192916,31.348988816811158,156.1230921041969,187.47208092100806,156.1230921041969,31.348988816811158
537.1,314.77364050892265,537.7482,158.65054867336073,32.763326652515445,156.12309183556192,188.88641848807737,156.12309183556192,32.76332665251544
537.0,143.96060356251473,537.6482,-12.1624875437073,34.280457103829036,156.12309110622203,190.40354821005107,156.12309110622203,34.28045710382903
536.9,116.06658099295237,537.5482,-40.05651016917972,35.91128593460766,156.12309116213208,192.03437709673975,156.12309116213208,35.91128593460767
536.8,112.15959751350601,537.4481999999999,-43.96349383276862,37.66835704402905,156.12309134627463,193.79144839030369,156.12309134627463,37.66835704402906
536.7,97.24494303292522,537.3482,-58.878148515452864,39.566200435610455,156.12309154837808,195.68929198398854,156.12309154837808,39.56620043561047
536.6,182.35889918250723,537.2482,26.235807363461078,41.621781252093285,156.12309181904615,197.74487307113944,156.12309181904615,41.62178125209328
536.5,385.59037422892834,537.1482,229.46728253049415,43.85508576882003,156.1230916984342,199.97817746725423,156.1230916984342,43.85508576882005
536.4,200.82937715670596,537.0482,44.70628651316545,46.28989360868272,156.1230906435405,202.41298425222323,156.1230906435405,46.28989360868272
536.3,283.0265788877923,536.9481999999999,126.90348844977495,48.95480323293242,156.12309043801736,205.07789367094978,156.12309043801736,48.954803232932406
536.2,202.22434915769554,536.8482,46.10125930307265,51.884600913907235,156.1230898546229,208.00769076853013,156.1230898546229,51.88460091390723
536.1,129.3594904251495,536.7482,-26.763599217537376,55.122092705299366,156.12308964268686,211.24518234798623,156.12308964268686,55.122092705299366
536.0,129.46497767299024,536.6482,-26.65811209272991,58.72055478246989,156.12308976572015,214.84364454819004,156.12308976572015,58.7205547824699
535.9,194.59705333041165,536.5482,38.473963442143145,62.74699951622301,156.1230898882685,218.87008940449152,156.1230898882685,62.74699951622302
535.8,174.74758449787078,536.4481999999999,18.624494786474628,67.28650101204832,156.12308971139615,223.40959072344447,156.12308971139615,67.28650101204833
535.7,307.94431180140145,536.3482,151.82122217562704,72.44787082134854,156.1230896257744,228.57096044712296,156.1230896257744,72.44787082134854
535.6,279.1836033504451,536.2482,123.06051442261523,78.37101556304609,156.12308892782985,234.49410449087594,156.12308892782985,78.3710155630461
535.5,298.4190127410893,536.1482,142.29592437898725,85.23633321829024,156.12308836210207,241.3594215803923,156.12308836210207,85.23633321829024
535.4,297.6619532213808,536.0482,141.53886551343427,93.2764997527577,156.12308770794655,249.39958746070425,156.12308770794655,93.27649975275769
535.3,275.8957140409948,535.9481999999999,119.77262698372346,102.79094419833092,156.12308705727133,258.91403125560225,156.12308705727133,102.79094419833092
535.2,478.20305671425103,535.8482,322.0799702075926,114.16318662467657,156.12308650665838,270.28627313133495,156.12308650665838,114.16318662467654
535.1,400.5612084164968,535.7482,244.43812339048475,127.88099608743647,156.12308502601206,284.00408111344854,156.12308502601206,127.88099608743649
535.0,415.893965245441,535.6482,259.7708813431455,144.558992692873,156.1230839022955,300.6820765951685,156.1230839022955,144.558992692873
