#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,Ti-F,TiF2
690.5,7255.0,690.9195,20.0,-7186.05125067584,7235.0,48.94874932415999,42.681263603468345,6.267485720691646
690.4,7257.0,690.8195,22.0,-7184.452654214725,7235.0,50.5473457852754,44.09389768754477,6.453448097730629
690.3,7332.0,690.7194999999999,97.0,-7182.774562949089,7235.0,52.22543705091069,45.57764426344688,6.647792787463812
690.2,7351.0,690.6195,116.0,-7181.011626256084,7235.0,53.988373743915595,47.13734368410898,6.851030059806618
690.1,7391.0,690.5195,156.0,-7179.158036514025,7235.0,55.84196348597457,48.77825396956775,7.063709516406815
690.0,7378.0,690.4195,143.0,-7177.207481553411,7235.0,57.792518446589526,50.506094670438465,7.286423776151064
689.9,7275.0,690.3195,40.0,-7175.153091248742,7235.0,59.84690875125787,52.3270961824014,7.519812568856472
689.8,7315.0,690.2194999999999,80.0,-7172.987377413618,7235.0,62.01262258638223,54.24805529689315,7.7645672894890785
689.7,7300.0,690.1195,65.0,-7170.702166024799,7235.0,64.29783397520063,56.27639790229358,8.021436072907052
689.6,7322.0,690.0195,87.0,-7168.288520639098,7235.0,66.7114793609013,58.42024990286419,8.2912294580371
689.5,7286.0,689.9195,51.0,-7165.736655674761,7235.0,69.2633443252388,60.688517604451924,8.574826720786879
689.4,7313.0,689.8195,78.0,-7163.035838000067,7235.0,71.96416199993267,63.090979032758355,8.873182967174316
689.3,7305.0,689.7194999999999,70.0,-7160.1742749986015,7235.0,74.8257250013984,65.63838790898397,9.187337092414424
689.2,7385.0,689.6195,150.0,-7157.138986953096,7235.0,77.86101304690376,68.342592318416,9.518420728487763
689.1,7451.0,689.5195,216.0,-7153.915661196153,7235.0,81.0843388038468,71.21667048135572,9.867668322491081
689.0,7404.0,689.4195,169.0,-7150.488485001623,7235.0,84.51151499837714,74.27508648694183,10.236428511435301
688.9,7364.0,689.3195,129.0,-7146.839953616086,7235.0,88.16004638391412,77.53386939704731,10.626176986866815
688.8,7537.0,689.2194999999999,302.0,-7142.9506491328375,7235.0,92.04935086716222,81.01081979157182,11.038531075590406
688.7,7499.0,689.1195,264.0,-7138.798985061184,7235.0,96.20101493881603,84.72574863680619,11.475266302009844
688.6,7304.0,689.0195,69.0,-7134.360910404785,7235.0,100.63908959521534,88.70075435071615,11.938335244499187
688.5,7235.0,688.9195,0.0,-7129.609565787087,7235.0,105.39043421291254,92.96054515847177,12.429889054440771
688.4,7464.0,688.8195,229.1026362372868,-7124.412246351672,7234.897363762713,110.48511741104105,97.53281533681381,12.95230207422724
688.3,7378.0,688.7194999999999,143.26945610045095,-7118.773658016476,7234.730543899549,115.95688588307381,102.44868581092801,13.508200072145797
688.2,7473.0,688.6195,238.44045923724298,-7112.7158261628265,7234.559540762757,121.84371459993059,107.74322188899592,14.100492710934676
688.1,7382.0,688.5195,147.6134084316136,-7106.198136759871,7234.386591568386,128.18845480851522,113.45604382157099,14.732410986944235
688.0,7364.0,688.4195,129.73765959910088,-7099.2227403604475,7234.262340400899,135.0396000404517,119.63204951710118,15.407550523350505
687.9,7439.0,688.3195,204.88756915466274,-7091.6602357218335,7234.112430845337,142.45219512350337,126.32227334322691,16.12992178027647
687.8,7324.0,688.2194999999999,90.01968536006189,-7083.491395401834,7233.980314639938,150.4889192381042,133.58491077299547,16.904008465108724
687.7,7320.0,688.1195,86.09858500468545,-7074.68003323353,7233.901414995315,159.22138176178493,141.48654606345787,17.734835698327057
687.6,7442.0,688.0195,208.23044216862763,-7065.037878336444,7233.769557831372,168.73167949492858,150.10362966773556,18.62804982719302
687.5,7566.0,687.9195,332.4726730488046,-7054.413050422248,7233.527326951195,179.1142765289477,159.52426432996714,19.590012198980574
687.4,7372.0,687.8195,138.68374753911576,-7042.837968064168,7233.316252460884,190.47828439671636,169.8503746671469,20.627909729569478
687.3,7601.0,687.7194999999999,367.91069799487013,-7030.139060569008,7233.08930200513,202.95024143612258,181.2003556749349,21.749885761187667
687.2,7463.0,687.6195,230.1786374649182,-7016.1438444066,7232.821362535082,216.67751812848235,193.71232259539167,22.96519553309067
687.1,7564.0,687.5195,331.4302339647347,-7000.737254282797,7232.569766035265,231.8325117524679,207.54812011151088,24.284391640957
687.0,7430.0,687.4195,197.6672656174087,-6983.714892351029,7232.332734382591,248.61784203156185,222.89829583079634,25.719546200765517
686.9,7517.0,687.3195,284.88344466274793,-6964.843731674946,7232.116555337252,267.2728236623061,239.98830551370878,27.2845181485973
686.8,7462.0,687.2194999999999,230.11415966965887,-6943.804263026694,7231.885840330341,288.08157730364763,259.08630098786773,28.99527631577988
686.7,7583.0,687.1195,351.3746622359622,-6920.242082359409,7231.625337764038,311.3832554046287,280.51296362889934,30.870291775729374
686.6,7574.0,687.0195,342.6855959489121,-6893.7293907468475,7231.314404051088,337.58501330424014,304.6539966288704,32.93101667536973
686.5,7590.0,686.9195,358.9999457308295,-6863.821491954556,7231.0000542691705,367.17856231461417,331.9760906894734,35.20247162514078
