#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!),,,,,,,,,,,,
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,TiC,Ti 2+,Ti 3+,Ti 4+,TiC (2p1/2),Ti 2+ (2p1/2),C_7
467.5,14242,467.9195,286,-13575.1694838463,13956,380.830516153653,4.17942230264695E-192,2.09790929902754E-112,6.00131330649371E-96,66.0441438874608,2.57417848609268E-17,0.0371699019777089,314.749202364214
467.4,14317,467.8195,361,-13593.8881615469,13956,362.111838453133,4.57914486821417E-189,1.85599596403641E-110,4.01438737874516E-94,67.4081277075713,9.81439516487738E-17,0.0554263250345675,294.648284420527
467.3,14347,467.7195,391,-13611.3117370008,13956,344.688262999202,4.74932825797306E-186,1.58061598505108E-108,2.58195000815365E-92,68.8143146465816,3.66967391559885E-16,0.0820379432256444,275.791910409395
467.2,14236,467.6195,280,-13627.509411726,13956,328.490588274011,4.66293511062945E-183,1.29579033013536E-106,1.59673171735361E-90,70.2644424961867,1.3456448686992E-15,0.120527862302112,258.105617915522
467.1,14411,467.5195,455,-13642.5446637162,13956,313.455336283814,4.33376776596899E-180,1.02259136798489E-104,9.49449013344096E-89,71.7603382433616,4.83918799517031E-15,0.175765710941146,241.519232329511
467,14406,467.4195,450,-13656.4750238863,13956,299.524976113738,3.81285835812783E-177,7.76834550157387E-103,5.42833842103764E-87,73.3039235418803,1.70668580958673E-14,0.254422120104402,225.966630451754
466.9,14296,467.3195,340,-13669.3517105803,13956,286.648289419703,3.17551504364375E-174,5.68085842247882E-101,2.98413011381664E-85,74.897220573194,5.90301257840789E-14,0.365552358563709,211.385516487945
466.8,14252,467.2195,296,-13681.2190951162,13956,274.780904883832,2.50354746235355E-171,3.99906462025949E-99,1.57733582657893E-83,76.5423583280521,2.0023172353876E-13,0.521336730898135,197.717209824881
466.7,14114,467.1195,158,-13692.1139686547,13956,263.886031345283,1.86842349423538E-168,2.70995388451034E-97,8.01652502239072E-82,78.2415793431006,6.66087227329525E-13,0.738007999365023,184.906444002817
466.6,14075,467.0195,119,-13702.0645789665,13956,253.935421033491,1.3199951192649E-165,1.76776447422993E-95,3.91745223281927E-80,79.9972469297907,2.17304322462844E-12,1.03699777615917,172.901176327539
466.5,14229,466.9195,273,-13711.089405485,13956,244.910594514975,8.82767878987764E-163,1.11005865156434E-93,1.84067383595821E-78,81.8118529362901,6.95255858775113E-12,1.44633398733967,161.652407591339
466.4,14230,466.8195,274,-13719.195643051,13956,236.804356949045,5.58852994283368E-160,6.71006106982313E-92,8.31582882231082E-77,83.688026086898,2.18152389020617E-11,2.00231946591535,151.11401139621
466.3,14187,466.7195,231,-13726.3773697241,13956,229.622630275877,3.34907731507249E-157,3.90450553090084E-90,3.61234994015054E-75,85.6285409475074,6.71296372300355E-11,2.75151673159901,141.242572596703
466.2,14017,466.6195,61,-13732.61338278,13956,223.386617219984,1.89989220541417E-154,2.18707982628676E-88,1.50879300443578E-73,87.6363275702261,2.02585155344438E-10,3.7530552473327,131.997234402222
466.1,14149,466.5195,193,-13737.864700325,13956,218.135299674976,1.0202547033708E-151,1.1792944364562E-86,6.05933663083584E-72,89.7144818752531,5.99570009596826E-10,5.08126409897825,123.339553700145
466,14232,466.4195,276,-13742.0717445862,13956,213.928255413848,5.18637320289841E-149,6.12123266932406E-85,2.33978564408841E-70,91.8662768335564,1.74024786114817E-09,6.8286143963887,115.233364182163
465.9,14111,466.3195,155,-13745.1512474047,13956,210.84875259528,2.49570984568846E-146,3.05854269936489E-83,8.68725631932887E-69,94.0951745200322,4.95360285255715E-09,9.10893119468386,107.644646875611
465.8,14240,466.2195,284,-13746.9929490334,13956,209.007050966571,1.13683972004012E-143,1.47112383233992E-81,3.10130708753061E-67,96.404839113428,1.38283400609338E-08,12.0608041383929,100.541407700922
465.7,14146,466.1195,190,-13747.4561978132,13956,208.543802186759,4.9020625863432E-141,6.81150276268309E-80,1.06454121423891E-65,98.7991509267275,3.78579939526718E-08,15.8510895279079,93.8935616942655
465.6,13956,466.0195,0,-13746.3665999278,13956,209.63340007223,2.00093312659649E-138,3.03595734732519E-78,3.51346604488181E-64,101.282221559838,1.01644450439873E-07,20.6783548589933,87.6728235517543
465.5,14196,465.9195,240.860097540448,-13742.6528161962,13955.1399024596,212.487086263387,7.7314338960617E-136,1.30258903254931E-76,1.11497367552585E-62,103.858410275357,2.67638178510635E-07,26.7760715520289,81.8526041683627
465.4,14139,465.8195,185.382184186959,-13736.2622457276,13953.617815813,217.355570085467,2.82787954884094E-133,5.37994940426156E-75,3.40211538784975E-61,106.532341708221,6.91115275693637E-07,34.4153148258815,76.4079128602488
465.3,14162,465.7195,209.793333206706,-13727.6757904519,13952.2066667933,224.530876341399,9.79117445154698E-131,2.13898622750821E-73,9.98134431200696E-60,109.30892503093,1.75021163352172E-06,43.9066845856766,71.3152649745811
465.2,14305,465.6195,354.809497406881,-13715.8434072162,13950.1905025931,234.34709537696,3.20908575133878E-128,8.18647251100259E-72,2.81568850105535E-58,112.193374708225,4.34678108998811E-06,55.6011217166871,66.5525946052664
465.1,14234,465.5195,286.09814168469,-13700.7221776347,13947.9018583153,247.179680680655,9.95634955858455E-126,3.01609245494069E-70,7.63722788796743E-57,115.191232988547,1.0587207149956E-05,69.8892649581061,62.0991721467949
465,14107,465.4195,160.693609302476,-13682.863464958,13946.3063906975,263.44292573956,2.92409080023038E-123,1.06967418603033E-68,1.99178503311895E-55,118.308394294361,2.52889372837914E-05,87.1989797245433,57.9355264317191
464.9,14191,465.3195,246.14641159227,-13661.2683290865,13944.8535884077,283.585259321274,8.1292990413625E-121,3.65188760857882E-67,4.99464645101608E-54,121.551131690006,5.92398679096369E-05,107.990697181751,54.0433712096499
464.8,14140,465.2195,196.727890224387,-13635.190077688,13943.2721097756,308.082032087624,2.13937290217594E-118,1.20016874790663E-65,1.20426651672674E-52,124.926125623781,0.000136091300954782,132.750234634669,50.405535737873
464.7,14437,465.1195,496.202304051001,-13603.3721637894,13940.797695949,337.425532159558,5.32955125936172E-116,3.79687453945134E-64,2.79187547304901E-51,128.440495161137,0.000306603729570514,161.978831129666,47.0058992650249
464.6,14440,465.0195,502.769575113389,-13565.1183583265,13937.2304248866,372.112066560106,1.2567971062117E-113,1.15629647835791E-62,6.22336177053487E-50,132.101831948119,0.000677411758077012,196.18022800003,43.8293292001998
464.5,14421,464.9195,487.305074681746,-13521.0688438343,13933.6949253183,412.626081483996,2.80549621375925E-111,3.38977741417352E-61,1.33385808141098E-48,135.918237168671,0.00146775315049374,235.844753791802,40.861622770373
464.4,14451,464.8195,520.905336007811,-13470.6731965807,13930.0946639922,459.421467411525,5.92821295990282E-109,9.56603979395785E-60,2.74884197182149E-47,139.898361786778,0.00311870459003027,281.430534941347,38.0894519788095
464.3,14676,464.7195,750.445255769573,-13412.6543406012,13925.5547442304,512.900403629188,1.18578815138563E-106,2.59867642993064E-58,5.44685099486763E-46,144.051450394236,0.00649847301590814,333.342143075193,35.5003116867435
464.2,14554,464.6195,633.386840507268,-13347.2228220906,13920.6131594927,573.390337402123,2.24522164483322E-104,6.79565393142156E-57,1.03775966914263E-44,148.38738901806,0.0132787748219573,391.907198959678,33.0824706495638
464.1,14504,464.5195,587.747440714575,-13275.1325982196,13916.2525592854,641.119961065831,4.02420168961821E-102,1.71068215081509E-55,1.90109427776191E-43,152.916757278039,0.0266076572568657,457.351670783197,30.8249253473372
464,14528,464.4195,616.046118200517,-13195.7585420081,13911.9538817995,716.195339791425,6.82760301350701E-100,4.14539974546763E-54,3.34862174498878E-42,157.650885324988,0.0522814848981324,529.774816523774,28.7173564577654
463.9,14687,464.3195,780.031430743362,-13108.3909223488,13906.9685692566,798.577646907838,1.09653976076467E-97,9.66991221576165E-53,5.67131936263326E-41,162.601916034532,0.100732739296593,609.124910306647,26.7500878273625
463.8,14834,464.2195,933.14909977523,-13012.7866261969,13900.8509002248,888.064274027856,1.66704644989144E-95,2.17138917999166E-51,9.23544203974776E-40,167.782872979462,0.190309943158293,695.177043301062,24.9140478041733
463.7,14872,464.1195,977.973608927992,-12909.7510032237,13894.026391072,984.275387848277,2.3990417450139E-93,4.69366219499193E-50,1.44606176313095E-38,173.207734756591,0.352536945387924,787.514383343931,23.2007328023673
463.6,15006,464.0195,1119.4634358469,-12799.8882794348,13886.5365641531,1086.64828471827,3.26809209548937E-91,9.76663625580546E-49,2.17706587563387E-37,178.891516301624,0.640297227449883,885.514298213414,21.6021729757801
463.5,14957,463.9195,1078.31156382491,-12684.2463222194,13878.6884361751,1194.44211395571,4.21421544036343E-89,1.95630794826417E-47,3.15146051932996E-36,184.850357887815,1.14017351453937,988.340682669439,20.1108998839182
463.4,15102,463.8195,1231.55998211472,-12563.6843735461,13870.4400178853,1306.75564433914,5.14404470359704E-87,3.77214560540504E-46,4.38639505606083E-35,191.101622571675,1.99043447744216,1094.94367125006,18.7199160399619
463.3,15354,463.7195,1493.29026545417,-12438.1490892798,13860.7097345458,1422.56064526605,5.9437135638998E-85,7.00162263140412E-45,5.87028502385019E-34,197.664002920847,3.40631032898576,1204.06766578004,17.4226662361749
463.2,15466,463.6195,1616.3947716687,-12308.8522133521,13849.6052283313,1540.75301497916,6.50093361149754E-83,1.25103071933911E-43,7.55381258808942E-33,204.557637935862,5.71410223975952,1314.26826425595,16.2130105475871
463.1,15513,463.5195,1675.14868382338,-12177.6284715887,13837.8513161766,1660.22284458792,6.73066372372522E-81,2.15177209452091E-42,9.34606496192893E-32,211.804241157792,9.39514502671751,1423.93825948334,15.0851989200726
463,15449,463.4195,1622.92591832552,-12046.1311135018,13826.0740816745,1779.9429681727,6.59635375397132E-79,3.56273557821532E-41,1.11185193801697E-30,219.42724103661,15.1394776384276,1531.34240224372,14.0338472539403
462.9,15616,463.3195,1802.1566911077,-11914.770264399,13813.8433088923,1899.0730444933,6.11946486830445E-77,5.67845166234928E-40,1.27180547956857E-29,227.451934719367,23.9070728270278,1634.66012204806,13.0539148988462
462.8,15769,463.2195,1968.6219244223,-11783.3053149316,13800.3780755777,2017.07276064609,5.37385561267229E-75,8.71234968834873E-39,1.39878188258193E-28,235.905656499569,36.9915199649815,1732.03490070116,12.1406834803741
462.7,15814,463.1195,2027.89324999001,-11652.2933088342,13786.10675001,2133.81344117583,4.46705353625548E-73,1.28676632369285E-37,1.47922717842141E-27,244.81796224689,56.0772073282535,1821.62853461781,11.2897369828771
462.6,16150,463.0195,2379.63226983504,-11520.695153655,13770.367730165,2249.67257650995,3.51494483208011E-71,1.82946075258148E-36,1.50409521338333E-26,254.220831204045,83.2766666289676,1901.67813565971,10.4969430172296
462.5,16164,462.9195,2410.73840769352,-11387.6702719466,13753.2615923065,2365.59132035986,2.61804818006797E-69,2.50383398789356E-35,1.47052141345074E-25,264.148886588175,121.13055975757,1970.5534388081,9.75843520601264
462.4,16201,462.8195,2465.14992416987,-11252.7780555566,13735.8500758301,2483.07202027349,1.8458571807351E-67,3.29873164358577E-34,1.38236569960324E-24,274.639636459429,172.549953140377,2026.81183405143,9.07059662225475
462.3,16257,462.7195,2539.01952512854,-11113.8876478198,13717.9804748715,2604.09282705165,1.23191138153175E-65,4.18357409722531E-33,1.24948232705085E-23,285.733736304304,240.680509630128,2069.24853689582,8.43004422139654
462.2,16472,462.6195,2772.98839955629,-10968.0906690234,13699.0116004437,2730.92093142029,7.78253930949936E-64,5.10748343738943E-32,1.08590756500139E-22,297.475274711812,328.672578334977,2096.93946416413,7.83361420937642
462.1,16602,462.5195,2923.32962321473,-10812.8541738544,13678.6703767853,2865.81620293088,4.65396627832378E-62,6.00240771012534E-31,9.07425902242084E-22,309.912083371783,439.351086127031,2109.2746851392,7.27834829286713
462,16795,462.4195,3137.97419011405,-10646.3925380673,13657.025809886,3010.63327181865,2.63441848672571E-60,6.79052008878339E-30,7.29096574092813E-21,323.096072366102,574.794961554583,2105.98075713727,6.76148076069974
461.9,16811,462.3195,3176.52289560836,-10468.125809879,13634.4771043916,3166.35129451265,1.41157998584176E-58,7.39502434621987E-29,5.63267269097224E-20,337.083591318752,735.856473600798,2087.13080324486,6.2804263482433
461.8,17016,462.2195,3405.02522496942,-10278.3908654516,13610.9747750306,3332.58390957893,7.15953771915318E-57,7.7523826453477E-28,4.184075820721E-19,351.935816361924,921.673510861852,2053.14181351591,5.83276883924675
461.7,17059,462.1195,3472.58477424976,-10079.2725765841,13586.4152257502,3507.14264916609,3.43734245532135E-55,7.82329696398476E-27,2.98840977701286E-18,367.719161999767,1129.24792806822,2004.75930873599,5.41625036212196
461.6,17394,462.0195,3833.67500721915,-9874.58533417619,13560.3249927808,3685.73965860466,1.5621348544151E-53,7.59982258398841E-26,2.05227863340539E-17,384.505715716804,1353.17502707846,1943.03015446934,5.02876134004776
