#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,TiO2,Ti 3+,Ti 2+,Ti-C,Ti-C (2p1/2),Ti 2+(2p1/2),Ti 3+(2p1/2),Ti 4+ (2p1/2)
467.79999999999995,6950.0,468.43179999999995,117.0,-6631.530553937307,6833.0,201.4694460626937,17.32460731665651,14.587395475295018,16.498445981822954,29.235946714789492,45.58390451742522,36.98381249997851,24.61103565197445,16.644297904751543
467.70000000000005,6833.0,468.33180000000004,0.0,-6625.930763260663,6833.0,207.06923673933707,17.710559272106384,14.848583226152348,16.767262389577958,29.675367255824817,46.8481754176503,38.12174923463048,25.53061247902103,17.566927464373766
467.6,6937.0,468.2318,104.40320051027902,-6619.655449032248,6832.596799489721,212.94135045747353,18.10953062931507,15.116838694744088,17.04269656214207,30.12476329190066,48.165140161791264,39.31271003641671,26.502246012478036,18.56742506868565
467.5,6910.0,468.1318,78.10805083379,-6612.785720470264,6831.89194916621,219.10622869594576,18.522112553703042,15.392418813736962,17.324967313669447,30.58443887300701,49.53769016883273,40.56002043891925,27.529903355999156,19.65467717807814
467.4,6854.0,468.0318,22.496581442249408,-6605.916919001123,6831.503418557751,225.58649955662779,18.948930085858127,15.67559227988071,17.614302568709352,31.054709714577744,50.96890872784442,41.86726910055164,28.617932947714092,20.83885413149171
467.29999999999995,6895.0,467.93179999999995,63.829970741152465,-6598.762738359533,6831.1700292588475,232.4072908993146,19.39064449333467,15.966640205304385,17.91093982075446,31.53590373835958,52.46208559582055,43.23833301127719,29.771108911362234,22.131635123101525
467.20000000000005,6890.0,467.83180000000004,59.30551449990617,-6591.09788521997,6830.694485500094,239.59660028012408,19.84795581478362,16.265856811201942,18.215126617916287,32.028361642745665,54.020732859507234,44.677405540609136,30.994681468695404,23.546479524664786
467.1,6890.0,467.7318,59.76536091633352,-6583.0489049701355,6830.2346390836665,247.1857341135312,20.32160561456691,16.5735501670863,18.5271210775771,32.53243750442406,55.648602192136686,46.18902769584932,32.29443436523892,25.09895549665192
467.0,6934.0,467.6318,104.39935774669539,-6574.390810639176,6829.600642253305,255.20983161412866,20.812379967944434,16.89004297905371,18.847192432003762,33.04849941331187,57.349703653003694,47.77812301377824,33.67675043031434,26.807139724718606
466.9,6918.0,467.5318,89.14682448040821,-6565.144682428464,6828.853175519592,263.7084930911276,21.3211126991203,17.215673430808305,19.175621607075602,33.576930142906214,59.12832619760912,49.45003657228818,35.14868659440561,28.692105846914245
466.79999999999995,6929.0,467.43179999999995,100.88070232325208,-6555.392760347629,6828.119297676748,272.726537329119,21.848688896861606,17.55079608150849,19.512701836435387,34.1181278583178,60.98906008888913,51.210578682171736,36.71805992950948,30.778523955425396
466.70000000000005,6953.0,467.33180000000004,125.75596302826489,-6544.929117535584,6827.244036971735,282.31491943615157,22.396048735159944,17.895782824859246,19.858739313562022,34.67250686442812,62.93682142660807,53.06607390559303,38.393546570090535,33.09539979585055
466.6,7043.0,467.2318,217.07998016842976,-6533.388170716718,6825.92001983157,292.5318491148519,22.96419162949463,18.25102391426496,20.214053884464146,35.24049839679204,64.9768790428244,55.02341614890005,40.18479572451876,35.67699037359298
466.5,6996.0,467.1318,171.58097144948624,-6520.974868178256,6824.419028550514,303.4441603722584,23.5541807627232,18.6169290592784,20.578979783902685,35.82255145808742,67.11488404717542,57.09013069618787,42.10256141295163,38.563943151951754
466.4,7073.0,467.0318,250.209909039565,-6507.661093042169,6822.790090960435,315.1289979182653,24.16714801856863,18.993928599066585,20.95386641830189,36.41913370314514,69.35690234762959,59.27444418996118,44.15885508450803,41.804719557084276
466.29999999999995,7020.0,466.93179999999995,198.9445234479599,-6493.379572834186,6821.05547655204,327.67590371785485,24.80429936508214,19.382474759120104,21.339079198752877,37.030732375799154,71.7094505210974,61.585363730229524,46.36712289493358,45.45738087284007
466.20000000000005,6978.0,466.83180000000004,158.32427964741782,-6478.486310130207,6819.675720352582,341.18941022237493,25.466920735483058,19.783042998011798,21.735000427803975,37.65785530105275,74.17953546540465,64.03276645866153,48.742452192010056,49.59183664394717
466.1,7090.0,466.7318,271.9861192359258,-6462.221605328634,6818.013880764074,355.7922754354408,26.15638445945456,20.196133451642204,22.142030244041653,38.301031936327405,76.77469833094477,66.62750122595898,51.30181269193325,54.29268309513797
466.0,7070.0,466.6318,254.01752186297108,-6444.352948834733,6815.982478137029,371.62952930229596,26.874156304397953,20.62227248309624,22.56058762879364,38.960814485834035,79.50306330859983,69.38150421577554,54.06433897600879,59.66279189978991
465.9,7084.0,466.5318,270.0414141245883,-6425.08504639464,6813.958585875412,388.87353948077146,27.621803193490745,21.062014347020764,22.99111147967168,39.63777908244776,82.37339194260332,72.30793072657801,57.05166234357842,65.82784636538078
465.79999999999995,7087.0,466.43179999999995,275.1469071301144,-6404.122750707994,6811.853092869886,407.73034216189166,28.401001675694427,21.51594297826784,23.434061756060025,40.33252704178434,85.39514374511906,75.42130570458343,60.28830178590352,72.942057474479
465.70000000000005,7168.0,466.33180000000004,358.59438777482774,-6380.958105236038,6809.405612225172,428.44750698913407,29.2135472323636,21.984673915499332,23.889920702108206,41.04568619356302,88.57854401686222,78.73769609027681,63.802125974009996,81.19531286445088
465.6,7368.0,466.2318,562.1502625942303,-6354.525953210756,6805.84973740577,451.32378419501356,30.061364515948068,22.468856371493295,24.359194153274483,41.777912295746745,91.93465992861309,82.2749086046004,67.62490077562681,90.82198754971061
465.5,7286.0,466.1318,484.19118665532733,-6325.088160571292,6801.808813344673,476.72065277338083,30.946518628656655,22.96917546303972,24.842412932989827,42.529890537376524,95.47548609644345,86.05271727935288,71.7929400475966,102.11151178792522
