#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!),,,,,,,,
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C-O,C=O
539.9,8536,540.5708,-42.4647430613131,45.2786725972674,8578.46474306131,8623.74341565858,8578.46474306131,45.2786725972675,1.70552487626501E-32
539.8,8526,540.4708,-51.6227830480348,46.4988840330843,8577.62278304804,8624.12166708112,8577.62278304804,46.4988840330838,9.56932961621241E-32
539.7,8373,540.3708,-203.805476227775,47.7691577601872,8576.80547622778,8624.57463398796,8576.80547622778,47.7691577601865,5.26978100657303E-31
539.6,8498,540.2708,-78.3653632606765,49.0922736834818,8576.36536326068,8625.45763694416,8576.36536326068,49.0922736834827,2.84833600301909E-30
539.5,8537,540.1708,-38.6170853808635,50.4712075977532,8575.61708538086,8626.08829297862,8575.61708538086,50.4712075977532,1.51104524579458E-29
539.4,8553,540.0708,-21.7726600482838,51.9091480050047,8574.77266004828,8626.68180805329,8574.77266004828,51.9091480050042,7.86776384735168E-29
539.3,8592,539.9708,18.1112103931227,53.4095146419695,8573.88878960688,8627.29830424885,8573.88878960688,53.4095146419698,4.02080268315681E-28
539.2,8625,539.8708,52.0912282872978,54.9759789195432,8572.9087717127,8627.88475063225,8572.9087717127,54.9759789195435,2.01679522284317E-27
539.1,8687,539.7708,115.152601718428,56.6124865031088,8571.84739828157,8628.45988478468,8571.84739828157,56.6124865031081,9.928838455976E-27
539,8556,539.6708,-14.6331750537338,58.3232822940063,8570.63317505373,8628.95645734774,8570.63317505373,58.3232822940068,4.7975850585844E-26
538.9,8558,539.5708,-11.7419086544214,60.1129381086084,8569.74190865442,8629.85484676303,8569.74190865442,60.1129381086084,2.27527827304836E-25
538.8,8634,539.4708,65.1542883834936,61.986383393154,8568.84571161651,8630.83209500966,8568.84571161651,61.9863833931545,1.05909264968674E-24
538.7,8548,539.3708,-19.7621503116607,63.9489393610693,8567.76215031166,8631.71108967273,8567.76215031166,63.94893936107,4.83861409322041E-24
538.6,8608,539.2708,41.1093935332392,66.0063569956965,8566.89060646676,8632.89696346246,8566.89060646676,66.0063569956968,2.16967965173731E-23
538.5,8644,539.1708,78.1288565362393,68.1648594268863,8565.87114346376,8634.03600289065,8565.87114346376,68.1648594268861,9.54899890996144E-23
538.4,8675,539.0708,110.237071034104,70.4311892664191,8564.7629289659,8635.19411823232,8564.7629289659,70.4311892664183,4.12484533948989E-22
538.3,8429,538.9708,-134.578289569681,72.8126615765541,8563.57828956968,8636.39095114624,8563.57828956968,72.8126615765534,1.74881992543948E-21
538.2,8791,538.8708,227.999881278314,75.3172232509023,8563.00011872169,8638.31734197259,8563.00011872169,75.3172232509019,7.27729724258542E-21
538.1,8676,538.7708,114.47049771353,77.9535197100249,8561.52950228647,8639.4830219965,8561.52950228647,77.9535197100257,2.97223218911549E-20
538,8721,538.6708,160.657602429048,80.7309699593225,8560.34239757095,8641.07336753027,8560.34239757095,80.7309699593224,1.19146955692705E-19
537.9,8678,538.5708,118.955646513143,83.6598512283836,8559.04435348686,8642.70420471524,8559.04435348686,83.6598512283839,4.68781824569501E-19
537.8,8704,538.4708,146.147681867265,86.7513946141353,8557.85231813274,8644.60371274687,8557.85231813274,86.751394614136,1.81028176876646E-18
537.7,8706,538.3708,149.40381552323,90.0178933915067,8556.59618447677,8646.61407786828,8556.59618447677,90.0178933915068,6.86134391363667E-18
537.6,8671,538.2708,115.664879817801,93.4728259429248,8555.3351201822,8648.80794612512,8555.3351201822,93.4728259429255,2.55246500498154E-17
537.5,8699,538.1708,144.839657936809,97.1309956013865,8554.16034206319,8651.29133766458,8554.16034206319,97.1309956013869,9.31961566434479E-17
537.4,8740,538.0708,187.083464996267,101.008690113518,8552.91653500373,8653.92522511725,8552.91653500373,101.008690113518,3.33982573369344E-16
537.3,8724,537.9708,172.428350147096,105.123863923531,8551.5716498529,8656.69551377643,8551.5716498529,105.12386392353,1.17472769731545E-15
537.2,8666,537.8708,115.733790189097,109.496347075132,8550.2662098109,8659.76255688604,8550.2662098109,109.496347075132,4.0554421269678E-15
537.1,8773,537.7708,223.896241711598,114.148085249168,8549.1037582884,8663.25184353757,8549.1037582884,114.148085249169,1.37412678687186E-14
537,8747,537.6708,199.322482399382,119.103416328533,8547.67751760062,8666.78093392915,8547.67751760062,119.103416328533,4.56986111162631E-14
536.9,8691,537.5708,144.684624785323,124.389389945001,8546.31537521468,8670.70476515968,8546.31537521468,124.389389945,1.49164952543725E-13
536.8,8651,537.4708,105.908709290366,130.036137758932,8545.09129070963,8675.12742846857,8545.09129070963,130.036137758933,4.77879263092993E-13
536.7,8600,537.3708,56.0341810233404,136.077303808943,8543.96581897666,8680.0431227856,8543.96581897666,136.07730380894,1.50264771124406E-12
536.6,8661,537.2708,118.033921471928,142.550546213684,8542.96607852807,8685.51662474176,8542.96607852807,142.55054621368,4.63749827330206E-12
536.5,8719,537.1708,177.184046397921,149.498123899104,8541.81595360208,8691.31407750118,8541.81595360208,149.49812389909,1.40474645723044E-11
