#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,C_1,C_2,C_3,C_4,C_5,C_6,C_7
470.0,520.0,470.4017,520.0,119.88031502075212,0.0,119.88031502075212,22.850807063118147,16.264688694751804,12.01628022416615,23.20768288341272,24.638921149769658,16.652761200620148,4.249173804913496
469.9,520.0,470.3017,520.0,122.17562135742796,0.0,122.17562135742796,23.148355584022973,16.48764060586786,12.192093435165438,23.702599408030242,25.21303148778526,17.108652970430086,4.323247866126102
469.79999999999995,628.0,470.20169999999996,628.0,124.54221880058896,0.0,124.54221880058896,23.451751625596035,16.715206391353714,12.371791910924442,24.213493128459113,25.807381427205986,17.583319667989535,4.39927464906014
469.70000000000005,538.0,470.10170000000005,538.0,126.98324032484653,0.0,126.98324032484653,23.761149359967522,16.947514187827768,12.555490928513622,24.741056651474615,26.42292556180529,18.077780288380943,4.477323346876788
469.6,341.0,470.0017,341.0,129.50199630146864,0.0,129.50199630146864,24.076708071922443,17.184696609262044,12.743310070323382,25.286020144064842,27.060674275190628,18.593120889462476,4.557466241242822
469.5,335.0,469.9017,335.0,132.1019865692474,0.0,132.1019865692474,24.398592363627625,17.426890935952745,12.935373418366337,25.849153746586804,27.721697546299588,19.130499689633925,4.639778868780382
469.4,287.0,469.8017,287.0,134.78691345655812,0.0,134.78691345655812,24.726972368986832,17.674239312859903,13.131809758882431,26.43127016083562,28.407129044471123,19.69115261252553,4.724340197996687
469.29999999999995,340.0,469.70169999999996,340.0,137.56069584235715,0.0,137.56069584235715,25.06202397813927,17.926888957846614,13.332752797871754,27.03322742676855,29.118170538343556,20.276399325948862,4.811232817438524
469.20000000000005,580.0,469.60170000000005,580.0,140.42748435385855,0.0,140.42748435385855,25.403929072655288,18.184992380387627,13.538341388227003,27.655931902802315,29.856096645191585,20.88764982871866,4.9005431358760605
469.1,490.0,469.5017,490.0,143.39167780996246,0.0,143.39167780996246,25.752875772017624,18.448707611354283,13.748719769184667,28.30034146588104,30.62225994994685,21.526411646194923,4.992361595383063
469.0,439.0,469.4017,439.0,146.45794103238785,0.0,146.45794103238785,26.109058692005018,18.718198444516943,13.964037818858902,28.96746894890429,31.41809652608945,22.19429770376694,5.086782898246307
