#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,C=C,pi-pi,pi-pi2,C-C,C-O,C_6,TiC
294.70000000000005,745.0,295.35280000000006,12.0,-684.5787692294322,733.0,48.42123077056786,17.28998404634573,23.561122783686955,0.0,0.23949203004380176,7.048862282512145,0.0,0.28176962797922883
294.5999999999999,733.0,295.2527999999999,0.0,-682.9840984725633,733.0,50.015901527436654,17.613097030899052,24.666381593119095,0.0,0.24425129754715003,7.206122596982506,0.0,0.2860490088888559
294.5,747.0,295.1528,14.021556156668794,-681.2733174778646,732.9784438433312,51.70512636546667,17.945353081842853,25.851510808041237,0.0,0.24915404526781937,7.36868180621355,0.0,0.2904266241011994
294.4000000000001,772.0,295.0528000000001,39.10322798804236,-679.3994302654763,732.8967720119576,53.49734174648131,18.287100450941363,27.124350095597894,0.0,0.2542061070922041,7.536779589436224,0.0,0.2949055034136278
294.29999999999995,787.0,294.95279999999997,54.24674034286875,-677.3512826541102,732.7532596571313,55.40197700302106,18.638704130505946,28.493701193461874,0.0,0.2594136168745315,7.710669267840928,0.0,0.299488794337781
294.20000000000005,801.0,294.85280000000006,68.43534667576671,-675.1350609335922,732.5646533242333,57.42959239064111,19.000546828455,29.969464024973036,0.0,0.26478302716436436,7.890618742418134,0.0,0.3041797676305802
294.0999999999999,845.0,294.7527999999999,112.71383789024492,-672.6941251948452,732.2861621097551,59.59203691490987,19.373030010291732,31.562792444674304,0.0,0.27032112931464386,8.076911507498252,0.0,0.3089818231309353
294.0,795.0,294.6528,62.98394835190004,-670.1134236783737,732.0160516481,61.90262796972628,19.756575013278503,33.286271638433476,0.0,0.276035075087671,8.2698477470053,0.0,0.31389849592133046
293.9000000000001,828.0,294.5528000000001,96.22871527237601,-667.394930202212,731.771284727624,64.376354525412,20.15162423860904,35.15411890288004,0.0,0.2819323998885242,8.469745521198938,0.0,0.31893346283546575
293.79999999999995,824.0,294.45279999999997,92.51888797939296,-664.451007033342,731.481112020607,67.03010498726502,20.558642427858867,37.18240890982369,0.0,0.2880210477674132,8.676942052480998,0.0,0.32409054933404996
293.70000000000005,783.0,294.35280000000006,51.74066661259292,-661.376413614359,731.2593333874071,69.88291977304809,20.978118030602047,39.38932348754763,0.0,0.29430939834697467,8.891795119778575,0.0,0.32937373677286275
293.5999999999999,792.0,294.2527999999999,60.913856986973656,-658.1298760501202,731.0861430130263,72.95626696290623,21.41056467072241,41.79542425419915,0.0,0.30080629584619634,9.114684572049475,0.0,0.3347871700889957
293.5,782.0,294.1528,51.086040967141,-654.6396221721641,730.913959032859,76.27433686069494,21.85652271961885,44.42394392215763,0.0,0.307521080389574,9.346013972596193,0.0,0.34033516593267915
293.4000000000001,783.0,294.0528000000001,52.244897650143,-650.8907545925053,730.755102349857,79.86434775735168,22.316560985335606,47.301088541730074,0.0,0.3144636218103048,9.586212387200842,0.0,0.3460222212748544
293.29999999999995,805.0,293.95279999999997,74.43965721046527,-646.8034923990548,730.5603427895347,83.7568503904799,22.79127852745738,50.4563381537959,0.0,0.321644356177183,9.835736330527197,0.0,0.35185302252223394
293.20000000000005,821.0,293.85280000000006,90.69352609140185,-642.3204615341922,730.3064739085982,87.98601237440599,23.281306608597177,53.92272709843784,0.0,0.32907432529955516,10.095071886896935,0.0,0.35783245517446977
293.0999999999999,803.0,293.7527999999999,72.94509729815354,-637.4650465610813,730.0549027018465,92.5898561407652,23.78731079436516,57.73707748944613,0.0,0.3367652194917876,10.364737023401405,0.0,0.36396561406073485
293.0,804.0,293.6528,74.17126787299924,-632.2183173828537,729.8287321270008,97.61041474414712,24.309993214842663,61.94015017582041,0.0,0.3447294239084128,10.645284115380193,0.0,0.3702578141954296
292.9000000000001,823.0,293.5528000000001,93.42892943856418,-626.4773110121077,729.5710705614358,103.09375954932813,24.850095001951452,66.57666716959191,0.0,0.35298006879602056,10.937302706692126,0.0,0.3767146022966212
