#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
470.0,366.0,470.6318,366.0,144.62920135114751,0.0,144.62920135114751,12.119915734131204,10.723070119239532,10.746859654879579,22.09378881827081,68.61867483918792,8.73552401810293,7.9781867311077175,3.6131814362278374
469.9,458.0,470.5318,458.0,147.4377102971648,0.0,147.4377102971648,12.336928352945458,10.883556563568636,10.895414127902626,22.38050773358059,70.07436296933162,8.936998684733119,8.19077151720121,3.739170347901569
469.79999999999995,322.0,470.43179999999995,322.0,150.33336109997393,0.0,150.33336109997393,12.559815319966136,11.047669198006782,11.047068296911615,22.672841940776674,71.57668661990473,9.145502246816006,8.411933920902161,3.871843556689846
469.70000000000005,415.0,470.33180000000004,415.0,153.3199924019328,0.0,153.3199924019328,12.788790328518958,11.215517977811155,11.201908946755664,22.970938969813737,73.12765123206749,9.361364414802212,8.64213978992654,4.011680742237046
469.6,354.0,470.2318,354.0,156.4016683516473,0.0,156.4016683516473,13.024076866135859,11.387217053105251,11.360025918937259,23.274951225548925,74.72937076009208,9.584934393878711,8.881886895600207,4.1592052383489815
469.5,329.0,470.1318,329.0,159.5826956379962,0.0,159.5826956379962,13.265908757533719,11.562884962181135,11.5215122416316,23.585036182237975,76.38407476312453,9.816582278703619,9.131707582602932,4.314988869980722
469.4,363.0,470.0318,363.0,162.86764214057422,0.0,162.86764214057422,13.514530742996895,11.742644835264183,11.6864642662018,23.901356587144253,78.09411604112375,10.056700565522894,9.392171677673957,4.479657424646486
469.29999999999995,299.0,469.93179999999995,299.0,166.26135738574317,0.0,166.26135738574317,13.770199094818834,11.9266246093887,11.854981810580481,24.224080673746695,79.86197886296382,10.30570579304718,9.663889686460314,4.6538968547371695
469.20000000000005,316.0,469.83180000000004,316.0,169.76899502440347,0.0,169.76899502440347,14.033182274689578,12.114957255082462,12.027168309915893,24.553382385068772,81.6902878395124,10.564040324723752,9.947516311427133,4.838460323983498
469.1,313.0,469.7318,313.0,173.39603757898362,0.0,173.39603757898362,14.303761635164491,12.307781015607931,12.203130974907069,24.88944160768302,83.58181749982926,10.832174286444364,10.243754328017696,5.0341762313297895
469.0,213.0,469.6318,213.0,177.1483237438702,0.0,177.1483237438702,14.58223216861554,12.505239659557006,12.382980958276374,25.23244441697215,85.53950263451354,11.11060767530499,10.553358861132384,5.241957369498207
468.9,206.0,469.5318,206.0,181.03207856695212,0.0,181.03207856695212,14.868903307375273,12.707482747661539,12.566833529864772,25.582583334277516,87.56644947690327,11.39987265682402,10.877142109615056,5.462811404430687
468.79999999999995,140.0,469.43179999999995,140.0,185.0539468909768,0.0,185.0539468909768,15.164099779101287,12.914665914736673,12.754808260860516,25.940057596591704,89.66594780011872,11.700536070022538,11.215978572869508,5.697852896675837
468.70000000000005,217.0,469.33180000000004,217.0,189.22103049416094,0.0,189.22103049416094,15.468162521754822,13.126951167745766,12.947029217710408,26.30507343950111,91.84148401619746,12.013202162043317,11.570810841156858,5.948317128051194
