#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,Ti-F,TiF2
690.3,8165.0,690.9527999999999,181.0,-7911.007153162274,7984.0,72.99284683772602,65.16831976495882,7.824527072767203
690.2,8095.0,690.8528,111.0,-7908.596001614535,7984.0,75.40399838546436,67.35072950453386,8.053268880930503
690.1,8153.0,690.7528,169.0,-7906.0635181721955,7984.0,77.9364818278043,69.64431395612436,8.292167871679933
690.0,8128.0,690.6528,144.0,-7903.401435454577,7984.0,80.59856454542302,72.05673148080415,8.541833064618876
689.9,8113.0,690.5527999999999,129.0,-7900.600770996391,7984.0,83.39922900360928,74.59630929368004,8.802919709929245
689.8,8170.0,690.4527999999999,186.0,-7897.651751879258,7984.0,86.34824812074203,77.2721145668497,9.07613355389233
689.7,8108.0,690.3528,124.0,-7894.543729953106,7984.0,89.45627004689455,80.09403447737841,9.362235569516134
689.6,8076.0,690.2528,92.0,-7891.265086284182,7984.0,92.73491371581844,83.07286650483452,9.662047210983921
689.5,8080.0,690.1528,96.0,-7887.803123240974,7984.0,96.19687675902591,86.22042049994675,9.976456259079164
689.4,8231.0,690.0527999999999,247.0,-7884.14394236158,7984.0,99.85605763841944,89.54963430385173,10.306423334567716
689.3,8182.0,689.9527999999999,198.0,-7880.272305827756,7984.0,103.72769417224396,93.07470500430775,10.652989167936205
689.2,8162.0,689.8528,178.0,-7876.1714789907355,7984.0,107.82852100926492,96.81123828203329,11.017282727231626
689.1,8187.0,689.7528,203.0,-7871.823050938927,7984.0,112.17694906107272,100.77641873971834,11.400530321354376
689.0,8113.0,689.6528,129.0,-7867.206729551284,7984.0,116.7932704487154,104.98920463426454,11.804065814450867
688.9,8130.0,689.5527999999999,146.0,-7862.300106821656,7984.0,121.69989317834339,109.47055106975962,12.22934210858376
688.8,8064.0,689.4527999999999,80.0,-7857.078389443791,7984.0,126.92161055620934,114.24366647900365,12.677944077205701
688.7,8213.0,689.3528,229.0,-7851.514088681135,7984.0,132.48591131886488,119.33430815692128,13.151603161943605
688.6,8240.0,689.2528,256.0,-7845.576662370272,7984.0,138.4233376297277,124.77112374900784,13.652213880719875
688.5,8082.0,689.1528,98.0,-7839.232100470725,7984.0,144.7678995292753,130.5860469918406,14.181852537434702
688.4,7984.0,689.0527999999999,0.0,-7832.442443811931,7984.0,151.55755618806853,136.81475771431263,14.7427984737559
688.3,8037.0,688.9527999999999,53.0226911546597,-7825.142532364134,7983.97730884534,158.83477648120652,143.49721821753124,15.337558263675271
688.2,8171.0,688.8528,187.1254629828727,-7817.227342931306,7983.874537017127,166.64719408582081,150.67830076222035,15.968893323600462
688.1,8171.0,688.7528,187.2856929006566,-7808.665931464455,7983.714307099343,175.04837563488883,158.40852413740964,16.639851497479174
