#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,C_1
540.0,31.0,540.6482,31.0,40.05307632044663,0.0,40.05307632044663,40.05307632044663
539.9,155.0,540.5482,155.0,41.110325699717436,0.0,41.110325699717436,41.110325699717436
539.8,198.0,540.4481999999999,198.0,42.210255885207744,0.0,42.210255885207744,42.210255885207744
539.7,208.0,540.3482,208.0,43.355210453160616,0.0,43.355210453160616,43.355210453160616
539.6,202.0,540.2482,202.0,44.5476971635605,0.0,44.5476971635605,44.5476971635605
539.5,267.0,540.1482,267.0,45.79040205662236,0.0,45.79040205662236,45.79040205662236
539.4,123.0,540.0482,123.0,47.08620499225398,0.0,47.08620499225398,47.08620499225398
539.3,217.0,539.9481999999999,217.0,48.4381968050892,0.0,48.4381968050892,48.4381968050892
539.2,147.0,539.8482,147.0,49.849698271486126,0.0,49.849698271486126,49.849698271486126
539.1,231.0,539.7482,231.0,51.32428111238226,0.0,51.32428111238226,51.32428111238226
539.0,221.0,539.6482,221.0,52.86579128774371,0.0,52.86579128774371,52.86579128774371
538.9,207.0,539.5482,207.0,54.47837487544871,0.0,54.47837487544871,54.47837487544871
538.8,75.0,539.4481999999999,75.0,56.166506870553356,0.0,56.166506870553356,56.166506870553356
538.7,191.0,539.3482,191.0,57.935023291337885,0.0,57.935023291337885,57.935023291337885
538.6,105.0,539.2482,105.0,59.7891570375877,0.0,59.7891570375877,59.7891570375877
538.5,283.0,539.1482,283.0,61.73457801588212,0.0,61.73457801588212,61.73457801588212
538.4,186.0,539.0482,186.0,63.77743812843259,0.0,63.77743812843259,63.77743812843259
538.3,165.0,538.9481999999999,165.0,65.92442181847053,0.0,65.92442181847053,65.92442181847053
538.2,0.0,538.8482,0.0,68.18280297962465,0.0,68.18280297962465,68.18280297962465
538.1,257.1047863693939,538.7482,257.1047863693939,70.56050917276639,0.0,70.56050917276639,70.56050917276639
538.0,226.3018049561024,538.6482,226.3018049561024,73.06619425605373,0.0,73.06619425605373,73.06619425605373
