#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C=C,pi-pi*,pi-pi*2,C-C,C-O,C_6,TiC
294.70000000000005,745.0,295.35280000000006,155.60190892331173,155.27696755044724,589.3980910766883,744.6750586271355,589.3980910766883,9.33076881952398,43.91685079474452,78.87006749518534,17.403393963578623,5.624301876569752,0.0,0.13158460084492932
294.5999999999999,733.0,295.2527999999999,145.14048919427262,166.04654317529207,587.8595108057274,753.9060539810195,587.8595108057274,9.50524755503319,46.14664300923464,86.75741289622489,17.744602571134855,5.759058954164575,0.0,0.1335781895000095
294.5,747.0,295.1528,160.65428696422464,177.32797225287447,586.3457130357754,763.6736852886498,586.3457130357754,9.684667563413285,48.55333763169567,94.95974526334207,18.095911239362838,5.89869312052129,0.0,0.1356174345392814
294.4000000000001,772.0,295.0528000000001,187.1969976520203,188.83894893208333,584.8030023479797,773.641951280063,584.8030023479797,9.869217251014474,51.15539349445242,103.17547191645292,18.45772118392644,6.043441345273213,0.0,0.13770374096398968
294.29999999999995,787.0,294.95279999999997,203.79133855025088,200.175257009387,583.2086614497491,783.3839184591361,583.2086614497491,10.05909409249689,53.973396395554595,110.97891919452303,18.83045367118003,6.193555087386724,0.0,0.13983856824559687
294.20000000000005,801.0,294.85280000000006,219.41665757474254,210.82845702136342,581.5833424252575,792.4117994466209,581.5833424252575,10.254505159817363,57.03026086544349,117.83781496975816,19.214551228253153,6.349301365211418,0.0,0.14202343287992245
294.0999999999999,845.0,294.7527999999999,265.07088951707783,220.24426725104968,579.9291104829222,800.1733777339718,579.9291104829222,10.455667687583858,60.351428860244134,123.17146793395699,19.61047893887959,6.5109639193028706,0.0,0.14425991108217362
294.0,795.0,294.6528,216.81599062977875,227.92190181257547,578.1840093702212,806.1059111827967,578.1840093702212,10.66280967765254,63.96505657581886,126.44991560828366,20.01872583193398,6.678844477254741,0.0,0.14654964163169176
293.9000000000001,828.0,294.5528000000001,251.45783132160966,233.5319028745206,576.5421686783903,810.0740715529109,576.5421686783903,10.87617054612685,67.90217799880782,127.31158949954019,20.439806370331,6.853264130838564,0.0,0.148894328876156
293.79999999999995,824.0,294.45279999999997,249.16782389121477,237.00975408065813,574.8321761087852,811.8419301894434,574.8321761087852,11.096001816180197,72.19683095686935,125.65679867619568,20.87426204860421,7.034564836903263,0.0,0.15129574590540665
293.70000000000005,783.0,294.35280000000006,209.86955562715036,238.58349226161147,573.1304443728496,811.7139366344611,573.1304443728496,11.322567860455276,76.88612839685833,121.67526610327425,21.322663108296272,7.223111054821449,0.0,0.15375573790597916
293.5999999999999,792.0,294.2527999999999,220.4866138179724,238.72194650346012,571.5133861820276,810.2353326854877,571.5133861820276,11.556146697142768,82.01025455149555,115.79436711318847,21.785610381161234,7.419291534763843,0.0,0.1562762257082627
293.5,782.0,294.1528,212.12225888455112,238.0283045900004,569.8777411154489,807.9060457054493,569.8777411154489,11.797030844209148,87.61236275374971,108.57279323864462,22.263737271102308,7.62352127275573,0.0,0.1588592095388841
