#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C_1,C_2,C_3
540.0,223.0,540.6539,66.85889049857576,1.3209988160872115,156.14110950142424,157.46210831751145,156.14110950142424,4.208143778132742e-07,1.320998395272823,1.239688068265766e-102
539.9,141.0,540.5539,-15.141109194062608,1.3457010975671722,156.1411091940626,157.48681029162978,156.1411091940626,7.22777142474235e-07,1.3457003747900225,1.1865950273867266e-100
539.8,150.0,540.4539,-6.141109263665726,1.3711032259863316,156.14110926366573,157.51221248965206,156.14110926366573,1.2332686342205865e-06,1.3711019927176893,1.087509499867313e-98
539.7,228.0,540.3539000000001,71.85889070810535,1.397232021552071,156.14110929189465,157.53834131344672,156.14110929189465,2.0905010943539845e-06,1.3972299310509848,9.543419781482627e-97
539.6,244.0,540.2539,87.85889103845264,1.4241156767464531,156.14110896154736,157.5652246382938,156.14110896154736,3.520323289379998e-06,1.4241121564231742,8.018911636662713e-95
539.5,353.0,540.1539,196.85889144235404,1.4517838842442075,156.14110855764596,157.59289244189017,156.14110855764596,5.889170594387483e-06,1.4517779950736251,6.451597440482159e-93
539.4,313.0,540.0539,156.85889234734273,1.4802680003230364,156.14110765265727,157.6213756529803,156.14110765265727,9.787350865579488e-06,1.4802582129721669,4.970035909519566e-91
539.3,59.0,539.9539,-97.14110693155382,1.5096012605510793,156.14110693155382,157.6507081921049,156.14110693155382,1.6159042260938234e-05,1.5095851015088093,3.665998009763811e-89
539.2,210.0,539.8539000000001,53.85889262187831,1.5398190728346606,156.1411073781217,157.68092645095635,156.1411073781217,2.6503639306085227e-05,1.5397925691953613,2.5891985531763077e-87
539.1,312.0,539.7539,155.85889286947724,1.5709594250572536,156.14110713052276,157.71206655558,156.14110713052276,4.318519100438792e-05,1.5709162398662484,1.7509708621223482e-85
539.0,0.0,539.6539,-156.14110641401646,1.603063462165295,156.14110641401646,157.74416987618176,156.14110641401646,6.990425532203032e-05,1.6029935579099814,1.1337907644401643e-83
538.9,124.09926905230532,539.5539,-32.041838079509745,1.636176312891962,156.14110713181506,157.77728344470702,156.14110713181506,0.00011241177850139516,1.6360639011134697,7.029547073872494e-82
538.8,277.4204512995948,539.4539,121.27934402048174,1.6703482823724585,156.14110727911304,157.8114555614855,156.14110727911304,0.00017958061762649914,1.6701687017548317,4.1731327938278134e-80
538.7,150.76296227490457,539.3539000000001,-5.37814444666887,1.7056365777436042,156.14110672157344,157.84674329931704,156.14110672157344,0.0002850011020369606,1.7053515766415608,2.372124605422626e-78
538.6,142.9979464713324,539.2539,-13.143160274962554,1.7421078047609342,156.14110674629495,157.8832145510559,156.14110674629495,0.00044933790315132446,1.7416584668577924,1.2910802112625568e-76
538.5,121.20929019798677,539.1539,-34.93181660872645,1.7798415714365206,156.14110680671322,157.92094837814975,156.14110680671322,0.0007037833787072066,1.779137788057828,6.728362528164142e-75
538.4,123.40496117251678,539.0539,-32.73614579478004,1.818935668562034,156.14110696729682,157.96004263585885,156.14110696729682,0.0010950763353524664,1.817840592226685,3.35742233239987e-73
538.3,94.57933040295211,538.9539,-61.56177671483454,1.8595134778714453,156.14110711778665,158.0006205956581,156.14110711778665,0.0016927359531001879,1.857820741918357,1.6041426984820346e-71
538.2,293.8900734868421,538.8539000000001,137.74896608605042,1.9017345002701518,156.14110740079167,158.04284190106182,156.14110740079167,0.002599402185379836,1.8991350980847708,7.338722321640895e-70
538.1,230.3093892836696,538.7539,74.16828251613052,1.9458092156286853,156.14110676753907,158.08691598316776,156.14110676753907,0.003965492907259204,1.941843722721423,3.214684413681138e-68
538.0,123.5924812274261,538.6539,-32.548625199149086,1.9920199017255982,156.1411064265752,158.1331263283008,156.1411064265752,0.0060098040450019315,1.9860100976806023,1.3483314551599294e-66
537.9,140.80397631497908,538.5539,-15.337130261223876,2.0407495755387686,156.14110657620296,158.18185615174173,156.14110657620296,0.009048214393675853,2.0317013611450796,5.414962090890956e-65
537.8,127.01821170084258,538.4539,-29.12289494586463,2.0925219002007793,156.14110664670721,158.233628546908,156.14110664670721,0.013533336790449027,2.078988563410327,2.0822583265508876e-63
537.7,148.23839400004,538.3539000000001,-7.902712780546466,2.1480557520869468,156.14110678058645,158.2891625326734,156.14110678058645,0.020108808287438464,2.1279469437995213,7.666801636022093e-62
537.6,235.54538897847488,538.2539,79.40428216156116,2.20833919122785,156.14110681691372,158.34944600814157,156.14110681691372,0.02968296049591814,2.178656230731952,2.702926765536696e-60
537.5,260.942537860612,538.1539,104.80143140873273,2.27472884873157,156.14110645187927,158.41583530061084,156.14110645187927,0.04352788154724455,2.2312009671843307,9.124199309256477e-59
537.4,157.27707863028445,538.0539,1.1359726601936302,2.3490822556940714,156.14110597009082,158.4901882257849,156.14110597009082,0.06341139166063312,2.2856708640334538,2.9491419758806725e-57
537.3,218.57773109222217,537.9539,62.43662512735611,2.4339323975729883,156.14110596486606,158.57503836243905,156.14110596486606,0.09177121352857878,2.342161184044424,9.127188718924759e-56
537.2,205.91729166287405,537.8539000000001,49.77618598503989,2.532715778828077,156.14110567783416,158.67382145666224,156.14110567783416,0.13194261924586848,2.4007731595821897,2.704698204050031e-54
537.1,108.16853409567193,537.7539,-47.97257135333206,2.6500674947316725,156.141105449004,158.79117294373566,156.141105449004,0.18845304725504683,2.461614447476633,7.674339849523876e-53
537.0,36.2840841276975,537.6539,-119.85702154184014,2.7921991698939905,156.14110566953764,158.93330483943163,156.14110566953764,0.2673995450261993,2.5247996248677924,2.0849885531718947e-51
536.9,29.33657517546635,537.5539,-126.8045310450672,2.967378036067572,156.14110622053354,159.10848425660112,156.14110622053354,0.3769273057577537,2.5904507303098003,5.423838568757788e-50
536.8,105.44438869163787,537.4539,-50.696718111830194,3.186527736541848,156.14110680346806,159.3276345400099,156.14110680346806,0.5278298816227751,2.6586978549190587,1.3509841929327267e-48
536.7,186.6780622586375,537.3539000000001,30.53695522211251,3.463973455344842,156.141107036525,159.60508049186984,156.141107036525,0.7342936664139362,2.7296797889308984,3.2220643726562616e-47
