#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,TiC,Ti 2+,Ti 3+,C_4,C_5,C_6,Ti 4+,C_8
470.0,14476.0,470.4017,520.0,-13871.51106928767,13956.0,84.48893071232999,10.672029336832475,31.618393506604235,15.246491808009324,12.461805044821636,7.100755879537542,4.12029699855222,1.2134298056950956,2.055728332277454
469.9,14476.0,470.3017,520.0,-13870.068938470693,13956.0,85.93106152930719,10.80912234888164,32.04734782332715,15.467170801957135,12.737289615319044,7.276735931727969,4.238062689098731,1.234215572413839,2.1211167465816763
469.79999999999995,14584.0,470.20169999999996,628.0,-13868.585852655086,13956.0,87.4141473449142,10.948873078536474,32.48508475883809,15.692673971172976,13.022011119651737,7.45934216870877,4.360953898425124,1.2555397292545676,2.1896686203264544
469.70000000000005,14494.0,470.10170000000005,538.0,-13867.060077608094,13956.0,88.93992239190638,11.091350643577073,32.931845547571754,15.923142901897318,13.316387167715696,7.6489115849257985,4.489272645068654,1.2774210208759824,2.26159088027412
469.6,14297.0,470.0017,341.0,-13865.48977712349,13956.0,90.51022287650966,11.236626422490945,33.38787975772352,16.158724410872633,13.620859239180852,7.845802881018658,4.623343540879111,1.2998790143693406,2.337107609974623
469.5,14291.0,469.9017,335.0,-13863.873005159994,13956.0,92.1269948400059,11.384774143752933,33.85344563887272,16.399570778836956,13.935894339573823,8.05039816397921,4.763515851422399,1.322934142915636,2.4164617806522295
469.4,14243.0,469.8017,287.0,-13862.207697221153,13956.0,93.79230277884716,11.53586997924589,34.328810486634,16.64583999626642,14.26198679197346,8.26310480477568,4.910165779138373,1.3466077521690767,2.4999171886442713
469.29999999999995,14296.0,469.70169999999996,340.0,-13860.49166088835,13956.0,95.50833911165034,11.689992642040394,34.81425102528742,16.897696022102092,14.599660177154263,8.484357470334563,5.063698997224226,1.3709221495626411,2.5877606279447494
469.20000000000005,14536.0,469.60170000000005,580.0,-13858.722565406431,13956.0,97.27743459356877,11.847223488768288,35.31005380941009,17.1553090562522,14.949469436403305,8.71462034884466,5.224553466235251,1.3959006567479912,2.6803043309069827
469.1,14446.0,469.5017,490.0,-13856.897930207437,13956.0,99.102069792563,12.007646626839236,35.8165156455968,17.41885582671545,15.312003152788325,8.954389589700893,5.3932025700650525,1.4215676653995326,2.777888715457687
469.0,14395.0,469.4017,439.0,-13855.015112241666,13956.0,100.98488775833368,12.17134902676091,36.33394403541712,17.688519892223916,15.68788602838894,9.204195982081943,5.570158613403725,1.4479486966309139,2.880885483426205
468.9,14440.0,469.3017,484.0,-13853.0712919663,13956.0,102.9287080336997,12.338420639846074,36.86265764085057,17.964491961377448,16.07778157697486,9.464607899227282,5.755976729131941,1.475070464294134,2.98970112199739
