#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!),,,,,,,,
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,Ti-Cl,Ti-Cl (2p ½)
208,39,208.4255,-0.163705391749922,2.1516803154807,39.1637053917499,41.3153857072306,39.1637053917499,0.867232871751921,1.28444744372877
207.9,87,208.3255,47.8362946079156,2.20415168345373,39.1637053920844,41.3678570755382,39.1637053920844,0.886042889839125,1.3181087936146
207.8,61,208.2255,21.83629470567,2.25858575050653,39.16370529433,41.4222910448366,39.16370529433,0.905472470599604,1.35311327990692
207.7,42,208.1255,2.83629475029286,2.31508261867233,39.1637052497071,41.4787878683795,39.1637052497071,0.925549165630341,1.38953345304198
207.6,21,208.0255,-18.1637052439111,2.37374891583753,39.1637052439111,41.5374541597486,39.1637052439111,0.946302077567921,1.42744683826961
207.5,32,207.9255,-7.1637052810289,2.4346983177111,39.1637052810289,41.59840359874,39.1637052810289,0.967761966224677,1.46693635148642
207.4,41,207.8255,1.83629470433198,2.49805211958612,39.163705295668,41.6617574152541,39.163705295668,0.989961363310131,1.50809075627599
207.3,55,207.7255,15.8362947080845,2.56393986343771,39.1637052919155,41.7276451553532,39.1637052919155,1.01293469654071,1.551005166897
207.2,50,207.6255,10.8362947404463,2.63250002661584,39.1637052595537,41.7962052861695,39.1637052595537,1.03671842402819,1.59578160258765
207.1,70,207.5255,30.8362947625905,2.70388077920602,39.1637052374095,41.8675860166155,39.1637052374095,1.06135117993359,1.64252959927243
207,35,207.4255,-4.16370517439491,2.77824081805893,39.1637051743949,41.9419459924538,39.1637051743949,1.08687393247945,1.69136688557948
206.9,16,207.3255,-23.1637051829035,2.85575028657225,39.1637051829035,42.0194554694757,39.1637051829035,1.11333015553739,1.74242013103487
206.8,1,207.2255,-38.1637052302389,2.93659179053694,39.1637052302389,42.1002970207758,39.1637052302389,1.14076601514146,1.79582577539548
206.7,44,207.1255,4.83629469177294,3.0209615217944,39.1637053082271,42.1846668300215,39.1637053082271,1.16923057243325,1.85173094936115
206.6,30,207.0255,-9.16370529834396,3.10907050310591,39.163705298344,42.2727758014499,39.163705298344,1.19877600471805,1.91029449838786
206.5,44,206.9255,4.83629468292988,3.20114596954794,39.1637053170701,42.3648512866181,39.1637053170701,1.22945784650528,1.97168812304266
206.4,35,206.8255,-4.16370530718702,3.29743290398931,39.163705307187,42.4611382111763,39.163705307187,1.26133525263122,2.03609765135809
206.3,39,206.7255,-0.163705315695594,3.39819574679754,39.1637053156956,42.5619010624931,39.1637053156956,1.29447128580973,2.10372446098781
206.2,73,206.6255,33.8362946839699,3.50372030296993,39.1637053160301,42.667425619,39.1637053160301,1.3289332312443,2.17478707172563
206.1,74,206.5255,34.836294753115,3.61431587344945,39.163705246885,42.7780211203344,39.163705246885,1.36479294125877,2.24952293219068
206,7,206.4255,-32.1637051756963,3.73031764156604,39.1637051756963,42.8940228172624,39.1637051756963,1.40212721327095,2.32819042829509
205.9,38,206.3255,-1.1637052414234,3.85208935049312,39.1637052414234,43.0157945919165,39.1637052414234,1.44101820485903,2.41107114563409
205.8,3,206.2255,-36.1637052438014,3.98002631343024,39.1637052438014,43.1437315572317,39.1637052438014,1.48155389014795,2.49847242328229
205.7,0,206.1255,-39.1637053177026,4.11455880514848,39.1637053177026,43.278264122851,39.1637053177026,1.5238285622974,2.59073024285108
205.6,7.00076483411306,206.0255,-32.1629405636212,4.25615589176388,39.1637053977343,43.4198612894981,39.1637053977343,1.56794338750658,2.68821250425729
205.5,28.0045891718128,205.9255,-11.159116291647,4.40532976541073,39.1637054634598,43.5690352288705,39.1637054634598,1.61400701667531,2.79132274873543
205.4,70.0152978522392,205.8255,30.8515923659756,4.56264066225959,39.1637054862636,43.7263461485232,39.1637054862636,1.66213626170461,2.90050440055498
205.3,84.0321275456735,205.7255,44.8684221224557,4.72870245643431,39.1637054232177,43.8924078796521,39.1637054232177,1.71245684438331,3.01624561205099
205.2,13.0427329818791,205.6255,-26.1209723496492,4.90418903943298,39.1637053315283,44.0678943709613,39.1637053315283,1.76510422692985,3.13908481250312
205.1,30.047440586755,205.5255,-9.11626479815192,5.08984161529128,39.1637053849069,44.2535470001982,39.1637053849069,1.82022453455825,3.26961708073303
205,72.0585956793082,205.4255,32.894890275772,5.28647706679738,39.1637054035361,44.4501824703335,39.1637054035361,1.87797558194206,3.40850148485532
