#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!),,,,,,,
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C-O
540,7866,540.6485,-135.607452565051,13.1956436184782,8001.60745256505,8014.80309618353,8001.60745256505,13.1956436184783
539.9,7990,540.5485,-11.6042110827384,13.5502817825163,8001.60421108274,8015.15449286526,8001.60421108274,13.5502817825164
539.8,8033,540.4485,31.5310328887244,13.91960709667,8001.46896711128,8015.38857420795,8001.46896711128,13.9196070966704
539.7,8043,540.3485,41.7120519169093,14.3044538898221,8001.28794808309,8015.59240197291,8001.28794808309,14.3044538898223
539.6,8037,540.2485,35.9037163071216,14.7057175344698,8001.09628369288,8015.80200122735,8001.09628369288,14.7057175344701
539.5,8102,540.1485,101.088993480118,15.1243599789914,8000.91100651988,8016.03536649887,8000.91100651988,15.1243599789911
539.4,7958,540.0485,-42.6565344937035,15.5614158849803,8000.6565344937,8016.21795037868,8000.6565344937,15.56141588498
539.3,8052,539.9485,51.4446443192692,16.0179994480832,8000.55535568073,8016.57335512881,8000.55535568073,16.0179994480833
539.2,7982,539.8485,-18.3541104646929,16.4953119926568,8000.35411046469,8016.84942245735,8000.35411046469,16.4953119926569
539.1,8066,539.7485,65.7726172171479,16.9946504445643,8000.22738278285,8017.22203322742,8000.22738278285,16.9946504445647
539,8056,539.6485,55.9887659400256,17.5174168029271,8000.01123405997,8017.5286508629,8000.01123405997,17.5174168029273
538.9,8042,539.5485,42.194269300875,18.0651287512083,7999.80573069913,8017.87085945033,7999.80573069913,18.0651287512085
538.8,7910,539.4485,-89.6151308451154,18.6394315712432,7999.61513084512,8018.25456241636,7999.61513084512,18.6394315712432
538.7,8026,539.3485,26.434950230122,19.2421115515745,7999.56504976988,8018.80716132145,7999.56504976988,19.2421115515746
538.6,7940,539.2485,-59.3914824951135,19.8751111147603,7999.39148249511,8019.26659360987,7999.39148249511,19.8751111147602
538.5,8118,539.1485,118.690534666208,20.5405459283847,7999.30946533379,8019.85001126218,7999.30946533379,20.5405459283847
538.4,8021,539.0485,21.9620392716324,21.2407243131374,7999.03796072837,8020.27868504151,7999.03796072837,21.2407243131375
538.3,8000,538.9485,1.13028386538281,21.9781693204759,7998.86971613462,8020.84788545509,7998.86971613462,21.978169320476
538.2,7835,538.8485,-163.723826801126,22.7556439249893,7998.72382680113,8021.47947072612,7998.72382680113,22.7556439249892
538.1,8092,538.7485,93.2464140589,23.5761798661979,7998.7535859411,8022.3297658073,7998.7535859411,23.576179866198
538,8061,538.6485,62.4902407230511,24.4431107860237,7998.50975927695,8022.95287006297,7998.50975927695,24.4431107860239
537.9,8036,538.5485,37.7010667649147,25.3601104482004,7998.29893323509,8023.65904368329,7998.29893323509,25.3601104482
537.8,7957,538.4485,-41.1147205982925,26.3312370033136,7998.11472059829,8024.44595760161,7998.11472059829,26.3312370033135
537.7,8093,538.3485,94.9853936784766,27.3609844905359,7998.01460632152,8025.37559081206,7998.01460632152,27.3609844905361
537.6,8099,538.2485,101.23028487883,28.4543430617596,7997.76971512117,8026.22405818293,7997.76971512117,28.4543430617591
537.5,7938,538.1485,-59.5184367035981,29.6168698004067,7997.5184367036,8027.13530650401,7997.5184367036,29.6168698004066
537.4,7976,538.0485,-21.4385486146821,30.8547725208882,7997.43854861468,8028.29332113557,7997.43854861468,30.8547725208878
537.3,8060,537.9485,62.681791849941,32.1750096255373,7997.31820815006,8029.4932177756,7997.31820815006,32.175009625537
537.2,8048,537.8485,50.8915533556019,33.5854100361803,7997.1084466444,8030.69385668058,7997.1084466444,33.5854100361799
537.1,8148,537.7485,151.088540426828,35.0948185099651,7996.91145957317,8032.00627808314,7996.91145957317,35.0948185099647
537,7977,537.6485,-19.6080188816622,36.7132734398929,7996.60801888166,8033.32129232156,7996.60801888166,36.7132734398927
536.9,7949,537.5485,-47.4866138808366,38.4522267347847,7996.48661388084,8034.93884061562,7996.48661388084,38.4522267347843
536.8,7945,537.4485,-51.3950158936887,40.3248188545203,7996.39501589369,8036.71983474821,7996.39501589369,40.3248188545205
536.7,7930,537.3485,-66.3076760513532,42.3462269285174,7996.30767605135,8038.65390297987,7996.30767605135,42.3462269285171
536.6,8015,537.2485,18.7636957479408,44.5341106151354,7996.23630425206,8040.7704148672,7996.23630425206,44.5341106151357
536.5,8218,537.1485,221.925553124474,46.909189613807,7996.07444687553,8042.98363648933,7996.07444687553,46.9091896138069
536.4,8033,537.0485,37.303511350181,49.4959993105567,7995.69648864982,8045.19248796038,7995.69648864982,49.4959993105564
536.3,8115,536.9485,119.484530378366,52.3238878312741,7995.51546962163,8047.83935745291,7995.51546962163,52.3238878312738
536.2,8034,536.8485,38.7528413751816,55.4283397556155,7995.24715862482,8050.67549838043,7995.24715862482,55.4283397556157
536.1,7961,536.7485,-34.0650750604318,58.8527397756616,7995.06507506043,8053.91781483609,7995.06507506043,58.8527397756619
536,7961,536.6485,-33.9607026388503,62.6507242016678,7994.96070263885,8057.61142684052,7994.96070263885,62.6507242016676
535.9,8026,536.5485,31.1436697827312,66.8893092536046,7994.85633021727,8061.74563947087,7994.85633021727,66.8893092536047
535.8,8006,536.4485,11.3172370574957,71.6530311404931,7994.6827629425,8066.335794083,7994.6827629425,71.6530311404933
535.7,8139,536.3485,144.469513608204,77.0493807425055,7994.5304863918,8071.5798671343,7994.5304863918,77.0493807425059
535.6,8110,536.2485,115.763373473887,83.2158593331669,7994.23662652611,8077.45248585928,7994.23662652611,83.2158593331667
535.5,8129,536.1485,135.026361789689,90.3290118151999,7993.97363821031,8084.30265002551,7993.97363821031,90.3290118151997
535.4,8128,536.0485,134.309576293344,98.6157968975831,7993.69042370666,8092.30622060424,7993.69042370666,98.6157968975831
535.3,8106,535.9485,112.591726260796,108.367611661287,7993.4082737392,8101.77588540049,7993.4082737392,108.367611661287
535.2,8308,535.8485,314.850456431787,119.957179302658,7993.14954356821,8113.10672287087,7993.14954356821,119.957179302658
535.1,8230,535.7485,237.324222915748,133.858309406124,7992.67577708425,8126.53408649038,7992.67577708425,133.858309406124
535,8245,535.6485,252.714955575888,150.668226388698,7992.28504442411,8142.95327081281,7992.28504442411,150.668226388698
534.9,8225,535.5485,233.121656279071,171.131715503321,7991.87834372093,8163.01005922425,7991.87834372093,171.131715503321
534.8,8186,535.4485,194.507066258197,196.165750159563,7991.4929337418,8187.65868390137,7991.4929337418,196.165750159563
534.7,8271,535.3485,279.850959325413,226.882551386805,7991.14904067459,8218.03159206139,7991.14904067459,226.882551386806
534.6,8202,535.2485,211.285337969869,264.608228710001,7990.71466203013,8255.32289074013,7990.71466203013,264.608228710001
534.5,8367,535.1485,376.646263616331,310.89333335952,7990.35373638367,8301.24706974319,7990.35373638367,310.893333359519
534.4,8397,535.0485,407.182837736258,367.510927926949,7989.81716226374,8357.32809019069,7989.81716226374,367.51092792695
534.3,8313,534.9485,323.75134794227,436.437284084849,7989.24865205773,8425.68593614258,7989.24865205773,436.43728408485
534.2,8483,534.8485,494.230437107244,519.81022951522,7988.76956289276,8508.57979240798,7988.76956289276,519.81022951522
534.1,8522,534.7485,533.890497426699,619.860650983521,7988.1095025733,8607.97015355682,7988.1095025733,619.86065098352
534,8699,534.6485,711.592074658063,738.813876137951,7987.40792534194,8726.22180147989,7987.40792534194,738.813876137951
533.9,8858,534.5485,871.482074797327,878.75970095972,7986.51792520267,8865.27762616239,7986.51792520267,878.75970095972
533.8,9084,534.4485,1098.54133619284,1041.49271018683,7985.45866380716,9026.95137399399,7985.45866380716,1041.49271018683
533.7,9327,534.3485,1342.84118277019,1228.32813735739,7984.15881722981,9212.4869545872,7984.15881722981,1228.32813735739
533.6,9296,534.2485,1313.39971164483,1439.90256631906,7982.60028835517,9422.50285467423,7982.60028835517,1439.90256631906
533.5,9703,534.1485,1721.92523989718,1675.97287641022,7981.07476010282,9657.04763651304,7981.07476010282,1675.97287641022
533.4,9786,534.0485,1806.88403438407,1935.23044502333,7979.11596561593,9914.34641063926,7979.11596561593,1935.23044502333
533.3,10145,533.9485,2167.93118537581,2215.1501399225,7977.0688146242,10192.2189545467,7977.0688146242,2215.1501399225
533.2,10565,533.8485,2590.36050486435,2511.89446571774,7974.63949513565,10486.5339608534,7974.63949513565,2511.89446571774
533.1,10783,533.7485,2811.23692955808,2820.29188888939,7971.76307044192,10792.0549593313,7971.76307044192,2820.29188888939
533,11039,533.6485,3070.34542314403,3133.90457879824,7968.65457685597,11102.5591556542,7968.65457685597,3133.90457879824
532.9,11416,533.5485,3450.7264379979,3445.19459118673,7965.27356200211,11410.4681531888,7965.27356200211,3445.19459118673
532.8,11764,533.4485,3802.50878300023,3745.78925967027,7961.49121699977,11707.28047667,7961.49121699977,3745.78925967027
532.7,12061,533.3485,4103.66158660114,4026.83697704644,7957.33841339886,11984.1753904453,7957.33841339886,4026.83697704644
532.6,12379,533.2485,4426.1305574543,4279.43466513983,7952.86944254571,12232.3041076855,7952.86944254571,4279.43466513983
532.5,12508,533.1485,4559.93805081995,4495.09925206079,7948.06194918006,12443.1612012408,7948.06194918006,4495.09925206078
532.4,12490,533.0485,4546.88286935576,4666.2486190479,7943.11713064424,12609.3657496921,7943.11713064424,4666.2486190479
