#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,Ti-C,Ti 2+,Ti 3+,TiO2,Ti-C(1/2),Ti 2+(1/2),Ti 3+(1/2)
467.29999999999995,6895.0,467.9438999999999,5.0,-6822.520012326776,6890.0,67.47998767322366,24.827659759023355,2.80176733377379e-138,9.435889666037888e-41,39.56797293567609,6.215054889186438e-18,7.009538998679534e-05,3.0842848831342278
467.20000000000005,6890.0,467.8439,0.0,-6819.902737053091,6890.0,70.09726294690843,25.21842919435079,6.174136256641559e-136,5.673642202568024e-40,40.495011883740496,2.441350326033317e-17,0.00013092524336529073,4.3836909435737885
467.1,6890.0,467.7439,0.0,-6816.766290636445,6890.0,73.2337093635552,25.618494154867605,1.3005494799509681e-133,3.356745728176373e-39,41.45489598576057,9.402033502431797e-17,0.00024177228566810111,6.1600774506413645
467.0,6934.0,467.6439,44.17568375799419,-6812.788121086976,6889.824316242006,77.0361951550293,26.028151715886455,2.6186899274852526e-131,1.9541250663054425e-38,42.449189460875644,3.549932051303005e-16,0.00044140661323641573,8.558412571653973
466.9,6918.0,467.54389999999995,28.464569215669144,-6807.851332434976,6889.535430784331,81.68409834935441,26.44771091167533,5.040200390128308e-129,1.1193442600323614e-37,43.47955039769944,1.3140891870579087e-15,0.0007967468364969419,11.756040293143142
466.79999999999995,6929.0,467.4438999999999,39.73579754083494,-6801.8717853847675,6889.264202459165,87.39241707439747,26.877493317625767,9.272952975149036e-127,6.308882045663611e-37,44.547737568086234,4.769097468971887e-15,0.0014218410640753022,15.965764347621397
466.70000000000005,6953.0,467.3439,64.14894023751913,-6794.437351489081,6888.851059762481,94.41370827339966,27.31783366574235,1.6307779815778218e-124,3.498795417047481e-36,45.65561782246715,1.6968916420395805e-14,0.0025085973024551755,21.43774818788771
466.6,7043.0,467.2439,155.02056278251075,-6784.941165783375,6887.979437217489,103.03827143411435,27.769080495652954,2.741436234076247e-122,1.9092469280234187e-35,46.80517412393053,5.919412129252447e-14,0.004375825974324838,28.45964098855649
466.5,6996.0,467.1439,109.07083672349381,-6773.337217096793,6886.929163276506,113.59194617971309,28.231596843492973,4.405223893060024e-120,1.025139722854306e-34,47.99851428456393,2.0244618677158438e-13,0.007546374010182481,37.3542886776458
466.4,7073.0,467.04389999999995,187.2492821386295,-6759.319822761431,6885.7507178613705,126.43089509993902,28.70576097121258,6.76650413321243e-118,5.416034649281565e-34,49.237880474783644,6.788083550360185e-13,0.012866659334700993,48.47438699460742
466.29999999999995,7020.0,466.9438999999999,135.53296568112637,-6742.53422068876,6884.467034318874,141.9328136301135,29.191967139031725,9.934985661998559e-116,2.8155109206406515e-33,50.52565958440033,2.2314713369909042e-12,0.021689146995235983,62.19349775968394
466.20000000000005,6978.0,466.8439,94.44758303405433,-6723.068254928051,6883.552416965946,160.48416203789452,29.69062642398619,1.394365619066384e-113,1.44015888622395e-32,51.8643945232929,7.191872868494031e-12,0.03614667336832693,78.8929944172399
466.1,7090.0,466.7439,207.64900106573077,-6699.887739050714,6882.350998934269,182.46325988355534,30.202167587736753,1.8706503298003394e-111,7.248380961325935e-32,53.256796559837824,2.2724756902968854e-11,0.05955845046773587,98.94473728549032
466.0,7070.0,466.6439,189.22735193778317,-6672.5532269565265,6880.772648062217,208.21942110569034,30.727037997048637,2.398916280146131e-109,3.5896245244776885e-31,54.705758806828314,7.03984416750836e-11,0.09702142266480353,122.6896028790782
465.9,7084.0,466.54389999999995,204.79435005166943,-6641.156922923868,6879.205649948331,238.0487270244633,31.26570460063723,2.940655141363207e-107,1.749179772530845e-30,56.21437097782883,2.1381265230827304e-10,0.1562575749162174,150.41239387086722
465.79999999999995,7087.0,466.4438999999999,209.4417394401844,-6605.390750039367,6877.558260559816,272.16751052044873,31.81865496634832,3.445717188450289e-105,8.386819177761748e-30,57.785935551778515,6.366640262096913e-10,0.24880764126370847,182.31411236042155
465.70000000000005,7168.0,466.3439,292.4376805275515,-6564.877200339316,6875.5623194724485,310.68511913313284,32.38639838297121,3.859416861539907e-103,3.956740086050814e-29,59.4239855006367,1.858633571075503e-09,0.39168373834410813,218.48305150932217
465.6,7368.0,466.2439,495.57154081518456,-6518.850471928019,6872.428459184815,353.57798725679646,32.96946703132981,4.132094816369064e-101,1.8367716870707724e-28,61.132303754146626,5.319659052998347e-09,0.6096162866537937,258.86660017934656
465.5,7286.0,466.1439,417.201578831844,-6468.131002350237,6868.798421168156,400.66741881791853,33.568417229662835,4.228880323003398e-99,8.389773571872623e-28,62.91494459772361,1.4927269544515555e-08,0.9380516984484484,303.24600527715637
465.4,7198.0,466.04389999999995,332.1818268143961,-6414.2144734288495,6865.818173185604,451.6036997567546,34.183830758739305,4.1370144622349034e-97,3.7707063632488635e-27,64.77625722460881,4.106610440877952e-08,1.4270729688782215,351.21653876346215
465.29999999999995,7380.0,465.9438999999999,517.5611983313038,-6356.579634906166,6862.438801668696,505.859166762531,34.816316272583876,3.8686123267609434e-95,1.6675259376134646e-26,66.7209116920192,1.1076261343365674e-07,2.146420357498846,402.1755183296665
465.20000000000005,7498.0,465.8439,640.1654000458057,-6295.101989721783,6857.834599954194,562.7326102324118,35.466510801192484,3.4580391943317068e-93,7.256043741980545e-26,68.75392756387086,2.928932998880093e-07,3.19177721668314,455.3203943577721
